#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				3750	5313					
0	マフラー用	1713	2087	250	127	13	255	0	1481	
0	前髪	1604	1866	455	244	13	217	0	1467	
0	赤面頬	1626	1883	430	269	16	255	0	1480	
0	赤面線	1691	1979	308	107	13	255	0	1478	
0	頬	1632	1941	421	180	16	255	0	1468	
0	メガネ	1385	1916	631	140	13	255	0	1466	
0	06　ベース　12涙あり	1649	1835	361	271	13	255	0	1800	
0	11　11　06涙あり	1658	1844	341	253	13	255	0	1799	
0	01　01　ベース涙あり	1649	1854	352	247	13	255	0	1798	
0	06涙あり	1653	1835	355	262	13	255	0	1797	
0	05涙あり	1649	1832	361	277	13	255	0	1796	
0	01涙あり	1649	1854	352	266	13	255	0	1795	
0	14　13　14	1656	1862	349	268	13	255	0	1765	
0	11　11　02	1658	1844	341	256	13	255	0	1762	
0	04　04　03	1646	1835	362	263	13	255	0	1759	
0	15　15　16	1656	1836	352	268	13	255	0	1751	
0	14　14　04	1649	1862	361	248	13	255	0	1748	
0	14　13　12	1656	1862	349	244	13	255	0	1745	
0	04　04　16	1646	1835	362	269	13	255	0	1742	
0	09　11　09	1661	1865	335	236	13	255	0	1739	
0	06　ベース　12	1649	1835	361	271	13	255	0	1736	
0	11　11　06	1658	1844	341	253	13	255	0	1733	
0	05　08　12	1643	1832	365	274	13	255	0	1730	
0	08　11　08	1646	1838	355	262	13	255	0	1727	
0	06　06　02	1653	1835	355	265	13	255	0	1724	
0	05　ベース　ベース	1649	1832	361	269	13	255	0	1715	
0	05　01　05	1656	1832	340	277	13	255	0	1721	
0	01　11　ベース	1649	1854	352	247	13	255	0	1712	
0	01　01　ベース	1649	1854	352	247	13	255	1	1709	
0	ベース　ベース　05	1649	1841	361	268	13	255	0	1706	
0	16	1650	1854	355	250	13	255	0	1498	1465
0	15	1656	1836	352	283	13	255	0	1497	1465
0	14	1649	1862	361	268	13	255	0	1496	1465
0	13	1655	1862	350	242	13	255	0	1495	1465
0	12	1656	1863	355	243	13	255	0	1494	1465
0	11	1658	1844	341	266	13	255	0	1493	1465
0	10	1649	1839	358	265	13	255	0	1492	1465
0	09	1653	1865	355	236	13	255	0	1491	1465
0	08	1643	1838	365	262	13	255	0	1490	1465
0	07	1649	1850	361	248	13	255	0	1489	1465
0	06	1653	1835	355	262	13	255	0	1488	1465
0	05	1649	1832	361	277	13	255	0	1487	1465
0	04	1646	1835	362	275	13	255	0	1486	1465
0	03	1649	1839	361	259	13	255	0	1485	1465
0	02	1653	1848	355	252	13	255	0	1484	1465
0	01	1649	1854	352	266	13	255	0	1483	1465
0	表情ベース	1649	1841	361	260	13	255	0	1499	1465
0	ハロウィン服腕差分	1224	1460	1126	3485	13	255	0	1436	
0	ハロウィン服	1224	1460	1071	3485	13	255	0	1437	
0	部屋着腕差分	1341	1536	1015	3406	13	255	0	1442	
0	部屋着	1385	1536	829	3406	13	255	0	1445	
0	ポンチョ腕差分	1334	1559	1024	3421	13	255	0	1470	
0	ポンチョ	1419	1559	904	3421	13	255	0	1472	
0	私服腕差分	1341	1559	1015	3421	13	255	0	1438	
0	私服	1419	1559	904	3421	13	255	0	1447	
0	制服マフラーなし	1352	1559	968	3391	13	255	0	1501	
0	制服マフラーなし腕差分	1337	1559	1027	3391	13	255	0	1503	
0	制服	1266	1559	1092	3391	13	255	0	1446	
0	制服腕差分	1266	1559	1098	3391	13	255	0	1444	
0	裸差分髪解き	1347	1559	1003	3362	13	255	0	1786	
0	裸髪解き	1352	1559	968	3362	13	255	0	1784	
0	裸腕差分	1347	1536	1003	3385	13	255	0	1439	
0	裸	1385	1536	829	3385	13	255	1	606	
2	表情差分	0	0	0	0	13	255	1	1465	
