#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				1875	2656					
0	マフラー用	856	1043	126	64	13	255	0	1481	
0	前髪	802	933	228	122	13	217	0	1467	
0	赤面頬	813	941	215	135	16	255	0	1480	
0	赤面線	845	989	155	54	13	255	0	1478	
0	頬	816	970	211	91	16	255	0	1468	
0	メガネ	692	958	316	70	13	255	0	1466	
0	06　ベース　12涙あり	824	917	181	136	13	255	0	1800	
0	11　11　06涙あり	829	922	171	127	13	255	0	1799	
0	01　01　ベース涙あり	824	927	177	124	13	255	0	1798	
0	06涙あり	826	917	178	132	13	255	0	1797	
0	05涙あり	824	916	181	139	13	255	0	1796	
0	01涙あり	824	927	177	133	13	255	0	1795	
0	14　13　14	828	931	175	134	13	255	0	1765	
0	11　11　02	829	922	171	128	13	255	0	1762	
0	04　04　03	823	917	181	132	13	255	0	1759	
0	15　15　16	828	918	176	134	13	255	0	1751	
0	14　14　04	824	931	181	124	13	255	0	1748	
0	14　13　12	828	931	175	122	13	255	0	1745	
0	04　04　16	823	917	181	135	13	255	0	1742	
0	09　11　09	830	932	168	119	13	255	0	1739	
0	06　ベース　12	824	917	181	136	13	255	0	1736	
0	11　11　06	829	922	171	127	13	255	0	1733	
0	05　08　12	821	916	183	137	13	255	0	1730	
0	08　11　08	823	919	178	131	13	255	0	1727	
0	06　06　02	826	917	178	133	13	255	0	1724	
0	05　ベース　ベース	824	916	181	135	13	255	0	1715	
0	05　01　05	828	916	170	139	13	255	0	1721	
0	01　11　ベース	824	927	177	124	13	255	0	1712	
0	01　01　ベース	824	927	177	124	13	255	1	1709	
0	ベース　ベース　05	824	920	181	135	13	255	0	1706	
0	16	825	927	178	125	13	255	0	1498	1465
0	15	828	918	176	142	13	255	0	1497	1465
0	14	824	931	181	134	13	255	0	1496	1465
0	13	827	931	176	121	13	255	0	1495	1465
0	12	828	931	178	122	13	255	0	1494	1465
0	11	829	922	171	133	13	255	0	1493	1465
0	10	824	919	180	133	13	255	0	1492	1465
0	09	826	932	178	119	13	255	0	1491	1465
0	08	821	919	183	131	13	255	0	1490	1465
0	07	824	925	181	124	13	255	0	1489	1465
0	06	826	917	178	132	13	255	0	1488	1465
0	05	824	916	181	139	13	255	0	1487	1465
0	04	823	917	181	138	13	255	0	1486	1465
0	03	824	919	181	130	13	255	0	1485	1465
0	02	826	924	178	126	13	255	0	1484	1465
0	01	824	927	177	133	13	255	0	1483	1465
0	表情ベース	824	920	181	131	13	255	0	1499	1465
0	ハロウィン服腕差分	612	730	563	1743	13	255	0	1436	
0	ハロウィン服	612	730	536	1743	13	255	0	1437	
0	部屋着腕差分	670	768	508	1703	13	255	0	1442	
0	部屋着	692	768	415	1703	13	255	0	1445	
0	ポンチョ腕差分	667	779	512	1711	13	255	0	1470	
0	ポンチョ	709	779	453	1711	13	255	0	1472	
0	私服腕差分	670	779	508	1711	13	255	0	1438	
0	私服	709	779	453	1711	13	255	0	1447	
0	制服マフラーなし	676	779	484	1696	13	255	0	1501	
0	制服マフラーなし腕差分	668	779	514	1696	13	255	0	1503	
0	制服	633	779	546	1696	13	255	0	1446	
0	制服腕差分	633	779	549	1696	13	255	0	1444	
0	裸差分髪解き	673	779	502	1682	13	255	0	1786	
0	裸髪解き	676	779	484	1682	13	255	0	1784	
0	裸腕差分	673	768	502	1693	13	255	0	1439	
0	裸	692	768	415	1693	13	255	1	606	
2	表情差分	0	0	0	0	13	255	1	1465	
