#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				3750	5313					
0	頬	1659	1925	375	220	16	255	0	1810	
0	髪かぶせ めがね用	1691	1877	361	241	13	217	0	1809	
0	髪かぶせ	1691	1878	344	141	13	217	1	1807	
0	13用青ざめ	1715	1764	299	366	16	255	0	1826	
0	メガネ	1716	1901	319	167	13	255	0	1808	
0	06　06　02涙あり	1706	1859	317	254	13	255	0	2032	
0	06　03　06涙あり	1704	1859	319	239	13	255	0	2031	
0	04　02　07涙あり	1701	1851	328	258	13	255	0	2030	
0	04　ベース　04涙あり	1698	1851	331	249	13	255	0	2029	
0	01　01　ベース涙あり	1707	1839	324	259	13	255	0	2028	
0	06涙あり	1710	1859	313	239	13	255	0	2027	
0	04涙あり	1698	1851	331	249	13	255	0	2026	
0	06　06　02	1710	1859	313	254	13	255	0	2023	
0	06　03　06	1704	1859	319	239	13	255	0	2003	
0	08　ベース　08	1698	1830	331	271	13	255	0	2002	
0	08　10　04	1698	1830	331	270	13	255	0	2001	
0	08　11　05	1703	1830	326	273	13	255	0	2000	
0	08　10　02	1698	1830	331	283	13	255	0	1999	
0	04　02　07	1701	1851	328	258	13	255	0	1998	
0	ベース　02　07	1701	1829	333	280	13	255	0	1997	
0	08　06　07	1710	1830	319	279	13	255	0	1996	
0	ベース　02　03	1701	1829	333	272	13	255	0	1995	
0	ベース　05　04	1703	1829	331	271	13	255	0	1994	
0	04　ベース　04	1698	1851	331	249	13	255	0	1993	
0	ベース　ベース　07	1698	1829	336	280	13	255	0	1992	
0	05　ベース　ベース	1698	1853	334	245	13	255	0	1991	
0	05　ベース　09	1698	1853	334	253	13	255	0	1990	
0	09　09　ベース	1712	1853	307	245	13	255	0	1989	
0	05　05　10	1703	1853	329	257	13	255	0	1988	
0	11　11　10	1703	1820	326	290	13	255	0	1987	
0	ベース　10　ベース	1698	1829	336	269	13	255	0	1986	
0	11　06　11	1710	1820	319	274	13	255	0	1985	
0	01　01　ベース	1707	1839	324	259	13	255	0	1984	
0	ベース　ベース　09	1698	1829	336	277	13	255	0	1983	
0	13	1707	1853	318	263	13	255	1	1825	1806
0	12	1701	1830	324	292	13	255	0	1824	1806
0	11	1703	1820	326	274	13	255	0	1823	1806
0	10	1698	1826	331	284	13	255	0	1822	1806
0	09	1712	1853	307	253	13	255	0	1821	1806
0	08	1701	1830	328	271	13	255	0	1820	1806
0	07	1709	1842	325	267	13	255	0	2036	1806
0	06	1710	1859	313	239	13	255	0	1818	1806
0	05	1703	1853	329	250	13	255	0	1817	1806
0	04	1698	1851	331	249	13	255	0	1816	1806
0	03	1704	1857	322	244	13	255	0	1815	1806
0	02	1701	1812	327	301	13	255	0	1814	1806
0	01	1707	1839	324	282	13	255	0	1813	1806
0	表情ベース	1698	1829	336	269	13	255	0	1982	1806
0	ハロウィン服	1089	1447	1101	3480	13	255	0	1787	
0	部屋着	1173	1532	1017	3383	13	255	0	1788	
0	ポンチョ	1173	1563	1042	3385	13	255	0	1811	
0	普段着	1173	1563	1017	3385	13	255	0	1789	
0	制服マフラーなし	1173	1559	1017	3361	13	255	1	1827	
0	制服	1059	1559	1131	3361	13	255	0	1786	
0	裸髪解き	1173	1559	1017	3335	13	255	0	2024	
0	裸	1173	1532	1017	3362	13	255	1	1785	
2	表情	0	0	0	0	13	255	1	1806	
