#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				1875	2656					
0	頬	830	963	188	111	16	255	0	1810	
0	髪かぶせ めがね用	846	939	181	121	13	217	0	1809	
0	髪かぶせ	846	939	172	72	13	217	1	1807	
0	13用青ざめ	858	882	150	184	16	255	0	1826	
0	メガネ	858	951	160	84	13	255	0	1808	
0	06　06　02涙あり	853	930	159	128	13	255	0	2032	
0	06　03　06涙あり	852	930	160	120	13	255	0	2031	
0	04　02　07涙あり	851	926	164	130	13	255	0	2030	
0	04　ベース　04涙あり	849	926	166	125	13	255	0	2029	
0	01　01　ベース涙あり	854	920	162	130	13	255	0	2028	
0	06涙あり	855	930	157	120	13	255	0	2027	
0	04涙あり	849	926	166	125	13	255	0	2026	
0	06　06　02	855	930	157	128	13	255	0	2023	
0	06　03　06	852	930	160	120	13	255	0	2003	
0	08　ベース　08	849	915	166	137	13	255	0	2002	
0	08　10　04	849	915	166	136	13	255	0	2001	
0	08　11　05	852	915	163	138	13	255	0	2000	
0	08　10　02	849	915	166	143	13	255	0	1999	
0	04　02　07	851	926	164	130	13	255	0	1998	
0	ベース　02　07	851	915	167	141	13	255	0	1997	
0	08　06　07	855	915	160	141	13	255	0	1996	
0	ベース　02　03	851	915	167	137	13	255	0	1995	
0	ベース　05　04	852	915	166	136	13	255	0	1994	
0	04　ベース　04	849	926	166	125	13	255	0	1993	
0	ベース　ベース　07	849	915	169	141	13	255	0	1992	
0	05　ベース　ベース	849	927	168	123	13	255	0	1991	
0	05　ベース　09	849	927	168	127	13	255	0	1990	
0	09　09　ベース	856	927	154	123	13	255	0	1989	
0	05　05　10	852	927	165	129	13	255	0	1988	
0	11　11　10	852	910	163	146	13	255	0	1987	
0	ベース　10　ベース	849	915	169	135	13	255	0	1986	
0	11　06　11	855	910	160	138	13	255	0	1985	
0	01　01　ベース	854	920	162	130	13	255	0	1984	
0	ベース　ベース　09	849	915	169	139	13	255	0	1983	
0	13	854	927	159	132	13	255	1	1825	1806
0	12	851	915	162	147	13	255	0	1824	1806
0	11	852	910	163	138	13	255	0	1823	1806
0	10	849	913	166	143	13	255	0	1822	1806
0	09	856	927	154	127	13	255	0	1821	1806
0	08	851	915	164	137	13	255	0	1820	1806
0	07	855	921	163	135	13	255	0	2036	1806
0	06	855	930	157	120	13	255	0	1818	1806
0	05	852	927	165	126	13	255	0	1817	1806
0	04	849	926	166	125	13	255	0	1816	1806
0	03	852	929	162	123	13	255	0	1815	1806
0	02	851	906	164	152	13	255	0	1814	1806
0	01	854	920	162	142	13	255	0	1813	1806
0	表情ベース	849	915	169	135	13	255	0	1982	1806
0	ハロウィン服	545	724	551	1741	13	255	0	1787	
0	部屋着	587	766	509	1693	13	255	0	1788	
0	ポンチョ	587	782	521	1693	13	255	0	1811	
0	普段着	587	782	509	1693	13	255	0	1789	
0	制服マフラーなし	587	780	509	1681	13	255	1	1827	
0	制服	530	780	566	1681	13	255	0	1786	
0	裸髪解き	587	780	509	1668	13	255	0	2024	
0	裸	587	766	509	1682	13	255	1	1785	
2	表情	0	0	0	0	13	255	1	1806	
