#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				3750	5313					
0	前髪	1620	2616	489	214	13	255	1	292	
0	頬	1662	2709	385	133	16	255	0	290	
0	11　3　11涙あり	1689	2580	361	249	13	255	0	357	
0	11　4　11涙あり	1712	2580	317	249	13	255	0	356	
0	11　1　11涙あり	1694	2580	356	249	13	255	0	355	
0	3　1　9涙あり	1694	2591	356	236	13	255	0	354	
0	9　11　5涙あり	1694	2597	349	227	13	255	0	353	
0	11　4　ベース涙あり	1712	2580	317	247	13	255	0	352	
0	9　9　7涙あり	1688	2597	362	239	13	255	0	351	
0	11　2　1涙あり	1710	2580	318	246	13	255	0	350	
0	11　2　2涙あり	1710	2580	318	264	13	255	0	349	
0	3　1　1涙あり	1694	2591	356	235	13	255	0	348	
0	6　7　6涙あり	1686	2591	366	233	13	255	0	347	
0	11涙あり	1694	2580	349	249	13	255	0	346	
0	7涙あり	1686	2591	366	245	13	255	0	345	
0	3涙あり	1689	2591	361	233	13	255	0	344	
0	9　9　5	1688	2597	362	227	13	255	0	313	
0	11　3　11	1689	2580	361	249	13	255	0	312	
0	11　4　11	1712	2580	317	249	13	255	0	311	
0	11　1　11	1694	2580	356	249	13	255	0	310	
0	3　1　9	1694	2591	356	236	13	255	0	309	
0	ベース　3　ベース	1689	2591	361	236	13	255	0	308	
0	9　11　5	1694	2597	349	227	13	255	0	307	
0	11　4　ベース	1712	2580	317	247	13	255	0	306	
0	9　9　7	1688	2597	362	239	13	255	0	305	
0	11　11　1	1694	2580	349	246	13	255	0	304	
0	ベース　11　ベース	1694	2591	349	236	13	255	0	303	
0	9　4　5	1712	2597	317	227	13	255	0	302	
0	11　4　1	1712	2580	317	246	13	255	0	301	
0	11　2　1	1710	2580	318	246	13	255	0	300	
0	11　2　2	1710	2580	318	264	13	255	0	299	
0	3　1　1	1694	2591	356	235	13	255	0	298	
0	6　7　6	1686	2591	366	233	13	255	0	297	
0	2　4　2	1712	2585	317	259	13	255	0	296	
0	1　4　1	1712	2603	317	223	13	255	0	295	
0	2　2　1	1710	2585	318	241	13	255	0	294	
0	1　1　2	1694	2603	356	241	13	255	0	293	
0	11	1694	2580	349	249	13	255	0	287	
0	10	1694	2592	350	238	13	255	0	268	
0	9	1688	2597	362	230	13	255	0	249	
0	8	1694	2580	350	256	13	255	0	213	
0	7	1686	2591	366	245	13	255	0	194	
0	6	1688	2591	362	233	13	255	0	168	
0	5	1688	2595	362	229	13	255	0	141	
0	4	1712	2601	317	225	13	255	0	116	
0	3	1689	2591	361	233	13	255	0	108	
0	2	1710	2585	318	259	13	255	0	89	
0	1	1694	2603	356	223	13	255	0	76	
0	ベース表情	1688	2591	362	236	13	255	0	56	
0	私服	1322	2298	1304	2572	13	255	1	2	
