#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				1875	2656					
0	前髪	810	1308	245	107	13	255	1	292	
0	頬	831	1354	193	67	16	255	0	290	
0	11　3　11涙あり	844	1290	181	125	13	255	0	357	
0	11　4　11涙あり	856	1290	159	125	13	255	0	356	
0	11　1　11涙あり	847	1290	178	125	13	255	0	355	
0	3　1　9涙あり	847	1295	178	119	13	255	0	354	
0	9　11　5涙あり	847	1298	175	114	13	255	0	353	
0	11　4　ベース涙あり	856	1290	159	124	13	255	0	352	
0	9　9　7涙あり	844	1298	181	120	13	255	0	351	
0	11　2　1涙あり	855	1290	159	123	13	255	0	350	
0	11　2　2涙あり	855	1290	159	132	13	255	0	349	
0	3　1　1涙あり	847	1295	178	118	13	255	0	348	
0	6　7　6涙あり	843	1295	183	117	13	255	0	347	
0	11涙あり	847	1290	175	125	13	255	0	346	
0	7涙あり	843	1295	183	123	13	255	0	345	
0	3涙あり	844	1295	181	117	13	255	0	344	
0	9　9　5	844	1298	181	114	13	255	0	313	
0	11　3　11	844	1290	181	125	13	255	0	312	
0	11　4　11	856	1290	159	125	13	255	0	311	
0	11　1　11	847	1290	178	125	13	255	0	310	
0	3　1　9	847	1295	178	119	13	255	0	309	
0	ベース　3　ベース	844	1295	181	119	13	255	0	308	
0	9　11　5	847	1298	175	114	13	255	0	307	
0	11　4　ベース	856	1290	159	124	13	255	0	306	
0	9　9　7	844	1298	181	120	13	255	0	305	
0	11　11　1	847	1290	175	123	13	255	0	304	
0	ベース　11　ベース	847	1295	175	119	13	255	0	303	
0	9　4　5	856	1298	159	114	13	255	0	302	
0	11　4　1	856	1290	159	123	13	255	0	301	
0	11　2　1	855	1290	159	123	13	255	0	300	
0	11　2　2	855	1290	159	132	13	255	0	299	
0	3　1　1	847	1295	178	118	13	255	0	298	
0	6　7　6	843	1295	183	117	13	255	0	297	
0	2　4　2	856	1292	159	130	13	255	0	296	
0	1　4　1	856	1301	159	112	13	255	0	295	
0	2　2　1	855	1292	159	121	13	255	0	294	
0	1　1　2	847	1301	178	121	13	255	0	293	
0	11	847	1290	175	125	13	255	0	287	
0	10	847	1296	175	119	13	255	0	268	
0	9	844	1298	181	116	13	255	0	249	
0	8	847	1290	175	128	13	255	0	213	
0	7	843	1295	183	123	13	255	0	194	
0	6	844	1295	181	117	13	255	0	168	
0	5	844	1297	181	115	13	255	0	141	
0	4	856	1300	159	113	13	255	0	116	
0	3	844	1295	181	117	13	255	0	108	
0	2	855	1292	159	130	13	255	0	89	
0	1	847	1301	178	112	13	255	0	76	
0	ベース表情	844	1295	181	119	13	255	0	56	
0	私服	661	1149	652	1286	13	255	1	2	
