#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				3750	5313					
0	髪かぶせ	1683	1731	374	154	13	255	1	1105	
0	頬	1661	1793	397	191	13	255	0	1539	
0	困った　納得　ベース	1709	1719	323	231	13	255	0	1667	
0	ベース　ベース　困った	1697	1715	332	239	13	255	0	1664	
0	考える　納得　困った	1713	1706	316	248	13	255	0	1661	
0	真剣　納得　真剣	1713	1713	310	237	13	255	0	1658	
0	考える　ニヤリ　困った	1697	1706	332	248	13	255	0	1655	
0	考える　ニヤリ　真剣	1697	1706	332	244	13	255	0	1649	
0	考える　真剣　訝しむ	1697	1706	332	251	13	255	0	1646	
0	寂しい　納得　寂しい	1707	1725	319	226	13	255	0	1639	
0	寂しい　ニヤリ　寂しい	1697	1725	332	226	13	255	0	1636	
0	困った　納得　困った	1709	1719	323	235	13	255	0	1633	
0	困った　納得　苦笑い	1709	1719	323	240	13	255	0	1630	
0	困った　ベース　ベース	1697	1719	335	231	13	255	0	1627	
0	落ち着いた　納得　落ち着いた	1707	1716	322	232	13	255	0	1624	
0	笑顔1　笑顔1　苦笑い	1709	1710	319	249	13	255	0	1621	
0	ベース　ベース　苦笑い	1697	1715	332	244	13	255	0	1618	
0	苦笑い	1709	1724	320	235	13	255	0	1612	1536
0	困った	1697	1719	335	235	13	255	0	1557	1536
0	真剣	1697	1713	332	237	13	255	0	1556	1536
0	考える	1700	1706	329	250	13	255	0	1555	1536
0	寂しい/悲しい	1700	1725	328	226	13	255	0	1554	1536
0	訝しむ	1697	1715	332	242	13	255	0	1553	1536
0	恥ずかしい/照れる	1697	1709	329	242	13	255	0	1552	1536
0	ニヤリとする	1697	1719	332	231	13	255	0	1551	1536
0	驚き	1695	1707	333	249	13	255	0	1550	1536
0	きょとん	1697	1712	331	242	13	255	0	1549	1536
0	気まずい	1700	1713	326	243	13	255	0	1548	1536
0	納得顔	1713	1713	309	237	13	255	0	1547	1536
0	落ち着いた笑み	1697	1716	332	232	13	255	0	1546	1536
0	笑顔１	1709	1710	319	244	13	255	0	1545	1536
0	表情ベース	1697	1715	332	235	13	255	0	1544	1536
0	私服エプロンあり	1461	1433	1024	3532	13	255	0	1293	
0	私服エプロンなし	1461	1433	1024	3532	13	255	0	849	
0	裸	1461	1433	1024	3490	13	255	1	1541	
2	表情	0	0	0	0	13	255	1	1536	
