#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				1875	2656					
0	髪かぶせ	842	866	187	77	13	255	1	1105	
0	頬	831	897	199	96	13	255	0	1539	
0	困った　納得　ベース	855	860	162	116	13	255	0	1667	
0	ベース　ベース　困った	849	858	166	120	13	255	0	1664	
0	考える　納得　困った	857	853	158	125	13	255	0	1661	
0	真剣　納得　真剣	857	857	155	119	13	255	0	1658	
0	考える　ニヤリ　困った	849	853	166	125	13	255	0	1655	
0	考える　ニヤリ　真剣	849	853	166	123	13	255	0	1649	
0	考える　真剣　訝しむ	849	853	166	126	13	255	0	1646	
0	寂しい　納得　寂しい	854	863	160	113	13	255	0	1639	
0	寂しい　ニヤリ　寂しい	849	863	166	113	13	255	0	1636	
0	困った　納得　困った	855	860	162	118	13	255	0	1633	
0	困った　納得　苦笑い	855	860	162	120	13	255	0	1630	
0	困った　ベース　ベース	849	860	168	116	13	255	0	1627	
0	落ち着いた　納得　落ち着いた	854	858	161	117	13	255	0	1624	
0	笑顔1　笑顔1　苦笑い	855	855	160	125	13	255	0	1621	
0	ベース　ベース　苦笑い	849	858	166	122	13	255	0	1618	
0	苦笑い	855	862	160	118	13	255	0	1612	1536
0	困った	849	860	168	118	13	255	0	1557	1536
0	真剣	849	857	166	119	13	255	0	1556	1536
0	考える	850	853	165	126	13	255	0	1555	1536
0	寂しい/悲しい	850	863	165	113	13	255	0	1554	1536
0	訝しむ	849	858	166	121	13	255	0	1553	1536
0	恥ずかしい/照れる	849	855	165	121	13	255	0	1552	1536
0	ニヤリとする	849	860	166	116	13	255	0	1551	1536
0	驚き	848	854	167	125	13	255	0	1550	1536
0	きょとん	849	856	166	122	13	255	0	1549	1536
0	気まずい	850	857	164	122	13	255	0	1548	1536
0	納得顔	857	857	155	119	13	255	0	1547	1536
0	落ち着いた笑み	849	858	166	117	13	255	0	1546	1536
0	笑顔１	855	855	160	123	13	255	0	1545	1536
0	表情ベース	849	858	166	118	13	255	0	1544	1536
0	私服エプロンあり	731	717	512	1766	13	255	0	1293	
0	私服エプロンなし	731	717	512	1766	13	255	0	849	
0	裸	731	717	512	1745	13	255	1	1541	
2	表情	0	0	0	0	13	255	1	1536	
