#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				3750	5313					
0	眼鏡	1610	1764	362	108	13	255	0	818	
0	前髪	1617	1737	354	70	13	255	0	829	
0	ややキレ気味専用効果	1604	1601	392	290	16	191	0	1484	
0	頬	1575	1778	457	166	16	255	0	837	
0	含み笑い　含み笑い　ゲス	1628	1695	331	265	13	255	0	1640	
0	ベース　ベース　寂しい	1625	1692	340	253	13	255	0	1636	
0	考える　ツマンナイ　考える	1626	1686	336	256	13	255	0	1633	
0	寂しい　笑顔1　ベース	1631	1688	322	251	13	255	0	1630	
0	真剣　寂しい　訝しむ	1626	1698	336	252	13	255	1	1627	
0	真剣　寂しい　ツマンナイ	1626	1698	336	264	13	255	0	1611	
0	真剣　困った　真剣	1634	1698	315	244	13	255	0	1604	
0	ややキレ　ため息　ため息	1638	1692	309	277	13	255	0	1601	
0	ベース　ツマンナイ　含み笑い	1626	1692	336	255	13	255	0	1615	
0	困った　寂しい　困った	1626	1685	336	263	13	255	0	1618	
0	困った　考える　困った	1626	1685	336	263	13	255	0	1586	
0	ため息　困った　ため息	1626	1716	324	253	13	255	0	1583	
0	ため息　ベース　ため息	1625	1716	340	253	13	255	0	1580	
0	困った　笑顔1　考える	1637	1685	311	257	13	255	0	1577	
0	困った　寂しい　考える	1626	1685	336	257	13	255	0	1624	
0	困った　ベース　笑顔1	1625	1685	340	263	13	255	0	1564	
0	笑顔1　笑顔1　ベース	1626	1698	331	241	13	255	0	1561	
0	ベース　ベース　笑顔1	1625	1692	340	256	13	255	0	1558	
0	ややキレ気味	1626	1692	340	286	13	255	0	1485	
0	ため息を吐くような	1586	1716	364	333	13	255	0	1463	
0	困った	1637	1685	310	263	13	255	0	1439	
0	訝しむ	1625	1701	340	249	13	255	0	1419	
0	真剣/考える	1625	1698	340	244	13	255	0	1399	
0	考える	1626	1686	336	256	13	255	0	1379	
0	寂しい/悲しい	1626	1688	336	257	13	255	0	1359	
0	感嘆	1623	1689	343	261	13	255	0	1339	
0	ツマンナイ/ダル	1626	1716	336	246	13	255	0	1319	
0	きょとん	1625	1688	340	251	13	255	0	1299	
0	ゲスな笑い	1634	1679	325	281	13	255	0	1279	
0	微笑み	1623	1700	342	238	13	255	0	1253	
0	含み笑い	1628	1695	331	252	13	255	0	1232	
0	笑顔１	1626	1698	331	250	13	255	0	1210	
0	ベース表情	1625	1692	340	247	13	255	0	1199	
0	私服	1253	1418	1243	3550	13	255	1	692	
