#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				1875	2656					
0	眼鏡	805	882	182	54	13	255	0	818	
0	前髪	809	868	178	36	13	255	0	829	
0	ややキレ気味専用効果	802	800	197	146	16	191	0	1484	
0	頬	788	889	229	83	16	255	0	837	
0	含み笑い　含み笑い　ゲス	814	847	167	133	13	255	0	1640	
0	ベース　ベース　寂しい	813	846	171	127	13	255	0	1636	
0	考える　ツマンナイ　考える	813	843	169	128	13	255	0	1633	
0	寂しい　笑顔1　ベース	816	844	162	126	13	255	0	1630	
0	真剣　寂しい　訝しむ	813	849	169	126	13	255	1	1627	
0	真剣　寂しい　ツマンナイ	813	849	169	132	13	255	0	1611	
0	真剣　困った　真剣	817	849	159	122	13	255	0	1604	
0	ややキレ　ため息　ため息	819	846	156	139	13	255	0	1601	
0	ベース　ツマンナイ　含み笑い	813	846	169	128	13	255	0	1615	
0	困った　寂しい　困った	813	842	169	132	13	255	0	1618	
0	困った　考える　困った	813	842	169	132	13	255	0	1586	
0	ため息　困った　ため息	813	858	163	127	13	255	0	1583	
0	ため息　ベース　ため息	813	858	171	127	13	255	0	1580	
0	困った　笑顔1　考える	819	842	156	129	13	255	0	1577	
0	困った　寂しい　考える	813	842	169	129	13	255	0	1624	
0	困った　ベース　笑顔1	813	842	171	132	13	255	0	1564	
0	笑顔1　笑顔1　ベース	813	849	167	121	13	255	0	1561	
0	ベース　ベース　笑顔1	813	846	171	128	13	255	0	1558	
0	ややキレ気味	813	846	171	143	13	255	0	1485	
0	ため息を吐くような	793	858	183	167	13	255	0	1463	
0	困った	819	842	156	132	13	255	0	1439	
0	訝しむ	813	850	171	125	13	255	0	1419	
0	真剣/考える	813	849	171	122	13	255	0	1399	
0	考える	813	843	169	128	13	255	0	1379	
0	寂しい/悲しい	813	844	169	129	13	255	0	1359	
0	感嘆	812	844	172	131	13	255	0	1339	
0	ツマンナイ/ダル	813	858	169	123	13	255	0	1319	
0	きょとん	813	844	171	126	13	255	0	1299	
0	ゲスな笑い	817	839	164	141	13	255	0	1279	
0	微笑み	812	850	172	119	13	255	0	1253	
0	含み笑い	814	847	167	127	13	255	0	1232	
0	笑顔１	813	849	167	125	13	255	0	1210	
0	ベース表情	813	846	171	124	13	255	0	1199	
0	私服	627	709	622	1775	13	255	1	692	
