#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				3750	5313					
0	ウェイトレス用前髪	1671	2089	348	204	13	179	0	25	
0	私服用前髪	1668	2085	352	145	13	179	0	24	
0	恥ずかしい赤面線	1692	2148	306	151	13	255	0	370	
0	頬2	1622	2088	424	267	16	255	0	369	
0	頬	1646	2162	398	179	16	255	0	26	
0	裸?制服時髪	1670	2085	350	145	13	179	0	23	
0	寂しい　呆れ　しょんぼり	1683	2067	333	237	13	255	0	1079	
0	しょんぼり　考える　ベース	1680	2049	337	249	13	255	0	1078	
0	呆れ　しょんぼり　ベース	1680	2049	340	249	13	255	0	951	
0	しょんぼり　笑顔1　笑顔1	1680	2049	337	262	13	255	0	946	
0	しょんぼり　笑顔1　ベース	1680	2049	337	249	13	255	0	944	
0	寂しい　ベース　笑顔1	1683	2067	333	244	13	255	0	954	
0	訝しむ　ベース　ベース	1683	2052	333	246	13	255	0	939	
0	ベース　ベース　きょとん	1683	2060	333	242	13	255	0	936	
0	焦る　焦る　呆れ	1682	2048	332	260	13	255	0	933	
0	真剣　しょんぼり　真剣	1682	2067	331	235	13	255	0	930	
0	寂しい　考える　真剣	1683	2067	333	235	13	255	0	927	
0	寂しい　考える　寂しい	1683	2067	333	238	13	255	0	924	
0	真剣　真剣　訝しむ	1682	2067	334	240	13	255	0	921	
0	訝しむ　ジト目　考える	1686	2052	330	250	13	255	0	918	
0	訝しむ　ジト目　呆れ	1686	2052	330	256	13	255	0	915	
0	ベース　考える　しょんぼり	1683	2060	333	244	13	255	0	912	
0	ベース　しょんぼり　ベース	1686	2060	325	238	13	255	0	909	
0	笑顔1　しょんぼり　笑顔1	1685	2060	331	251	13	255	0	906	
0	ニヤつき　ジト目　ニヤつき	1680	2060	336	256	13	255	0	903	
0	ベース　ベース　笑顔1	1683	2060	333	251	13	255	0	900	
0	笑顔1　笑顔1　ベース	1685	2060	331	238	13	255	0	897	
0	訝しむ	1683	2052	330	255	13	255	0	829	
0	呆れ	1680	2049	340	259	13	255	0	810	
0	しょんぼり	1680	2049	337	255	13	255	0	791	
0	ジト目	1686	2060	330	245	13	255	0	781	
0	考える	1683	2063	333	239	13	255	0	830	
0	真剣	1682	2067	334	235	13	255	0	743	
0	寂しい	1683	2067	333	238	13	255	0	831	
0	恥ずかしい	1683	2052	331	250	13	255	0	704	
0	焦る	1682	2048	332	268	13	255	0	684	
0	きょとん	1682	2054	337	248	13	255	0	665	
0	ニヤついた笑み	1680	2060	334	256	13	255	0	646	
0	笑顔１	1685	2060	331	251	13	255	0	627	
0	ベース表情	1683	2060	333	238	13	255	0	608	
0	ウェイトレス	1316	1778	1102	3194	13	255	0	7	
0	私服ギター	1316	1716	1100	3282	13	255	1	6	
0	私服	1316	1778	920	3220	13	255	1	5	
0	制服ギター	1316	1716	1100	3274	13	255	1	368	
0	制服	1316	1778	946	3212	13	255	0	4	
0	シーツ巻	1497	1778	729	3182	13	255	0	1077	
0	裸	1316	1778	901	3182	13	255	0	3	
