#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				1875	2656					
0	ウェイトレス用前髪	835	1044	175	103	13	179	0	25	
0	私服用前髪	834	1042	176	73	13	179	0	24	
0	恥ずかしい赤面線	846	1074	153	76	13	255	0	370	
0	頬2	811	1044	212	134	16	255	0	369	
0	頬	823	1081	199	90	16	255	0	26	
0	裸?制服時髪	835	1042	175	73	13	179	0	23	
0	寂しい　呆れ　しょんぼり	841	1033	167	119	13	255	0	1079	
0	しょんぼり　考える　ベース	840	1024	169	125	13	255	0	1078	
0	呆れ　しょんぼり　ベース	840	1024	170	125	13	255	0	951	
0	しょんぼり　笑顔1　笑顔1	840	1024	169	132	13	255	0	946	
0	しょんぼり　笑顔1　ベース	840	1024	169	125	13	255	0	944	
0	寂しい　ベース　笑顔1	841	1033	167	123	13	255	0	954	
0	訝しむ　ベース　ベース	841	1026	167	123	13	255	0	939	
0	ベース　ベース　きょとん	841	1030	167	121	13	255	0	936	
0	焦る　焦る　呆れ	841	1024	166	130	13	255	0	933	
0	真剣　しょんぼり　真剣	841	1033	166	118	13	255	0	930	
0	寂しい　考える　真剣	841	1033	167	118	13	255	0	927	
0	寂しい　考える　寂しい	841	1033	167	120	13	255	0	924	
0	真剣　真剣　訝しむ	841	1033	167	121	13	255	0	921	
0	訝しむ　ジト目　考える	843	1026	165	125	13	255	0	918	
0	訝しむ　ジト目　呆れ	843	1026	165	128	13	255	0	915	
0	ベース　考える　しょんぼり	841	1030	167	122	13	255	0	912	
0	ベース　しょんぼり　ベース	843	1030	163	119	13	255	0	909	
0	笑顔1　しょんぼり　笑顔1	842	1030	166	126	13	255	0	906	
0	ニヤつき　ジト目　ニヤつき	840	1030	168	128	13	255	0	903	
0	ベース　ベース　笑顔1	841	1030	167	126	13	255	0	900	
0	笑顔1　笑顔1　ベース	842	1030	166	119	13	255	0	897	
0	訝しむ	841	1026	166	128	13	255	0	829	
0	呆れ	840	1024	170	130	13	255	0	810	
0	しょんぼり	840	1024	169	128	13	255	0	791	
0	ジト目	843	1030	165	123	13	255	0	781	
0	考える	841	1031	167	120	13	255	0	830	
0	真剣	841	1033	167	118	13	255	0	743	
0	寂しい	841	1033	167	120	13	255	0	831	
0	恥ずかしい	841	1026	166	125	13	255	0	704	
0	焦る	841	1024	166	134	13	255	0	684	
0	きょとん	841	1027	169	124	13	255	0	665	
0	ニヤついた笑み	840	1030	167	128	13	255	0	646	
0	笑顔１	842	1030	166	126	13	255	0	627	
0	ベース表情	841	1030	167	119	13	255	0	608	
0	ウェイトレス	658	889	551	1597	13	255	0	7	
0	私服ギター	658	858	550	1641	13	255	1	6	
0	私服	658	889	460	1610	13	255	1	5	
0	制服ギター	658	858	550	1637	13	255	1	368	
0	制服	658	889	473	1606	13	255	0	4	
0	シーツ巻	748	889	365	1591	13	255	0	1077	
0	裸	658	889	451	1591	13	255	0	3	
