#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				3750	5313					
0	頬	1674	2159	406	190	16	255	0	1102	
0	ウェイトレス用前髪	1698	2085	363	147	13	179	0	1101	
0	私服用前髪	1676	2093	386	182	13	179	0	1096	
0	裸?制服用前髪	1700	2091	359	120	13	179	0	1098	
0	表情追加　????	1731	2060	294	265	13	255	0	1614	
0	怒り　怒り　困った	1707	2052	345	250	13	255	0	1688	
0	困った　ベース　ベース	1703	2046	349	252	13	255	0	1685	
0	怒り　引くわ　照れる	1709	2052	338	255	13	255	0	1680	
0	怒り　引くわ　困った	1709	2052	338	250	13	255	0	1678	
0	イタズラ　引くわ　ベース	1703	2067	346	231	13	255	0	1675	
0	引くわー	1706	2066	344	245	13	255	0	1602	
0	拗ねる	1703	2061	349	243	13	255	0	1580	
0	怒り	1707	2052	345	265	13	255	0	1560	
0	困った	1703	2046	349	256	13	255	0	1540	
0	悲しい	1697	2058	352	241	13	255	0	1520	
0	照れる	1701	2045	351	262	13	255	0	1500	
0	驚き	1701	2054	354	256	13	255	0	1480	
0	イタズラっぽい笑み	1703	2067	349	229	13	255	0	1461	
0	微笑み	1700	2061	355	238	13	255	0	1442	
0	ベース表情	1697	2060	355	238	13	255	0	1630	
0	ウェイトレス	1334	1778	1109	3206	13	255	0	1079	
0	私服	1529	1778	901	3218	13	255	0	1080	
0	私服ギター	1529	1673	901	3323	13	255	0	1078	
0	制服ギター	1481	1673	949	3317	13	255	0	1423	
0	制服	1481	1778	949	3212	13	255	0	1077	
0	シーツ	1479	1778	727	3185	13	255	1	1760	
0	裸	1529	1778	901	3185	13	255	0	992	
