#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				1875	2656					
0	頬	837	1080	204	96	16	255	0	1102	
0	ウェイトレス用前髪	849	1043	182	74	13	179	0	1101	
0	私服用前髪	838	1047	194	92	13	179	0	1096	
0	裸?制服用前髪	850	1046	180	61	13	179	0	1098	
0	表情追加　????	865	1030	148	134	13	255	0	1614	
0	怒り　怒り　困った	853	1026	174	126	13	255	0	1688	
0	困った　ベース　ベース	851	1023	176	127	13	255	0	1685	
0	怒り　引くわ　照れる	854	1026	170	129	13	255	0	1680	
0	怒り　引くわ　困った	854	1026	170	126	13	255	0	1678	
0	イタズラ　引くわ　ベース	851	1034	174	116	13	255	0	1675	
0	引くわー	853	1033	173	124	13	255	0	1602	
0	拗ねる	851	1031	176	122	13	255	0	1580	
0	怒り	853	1026	174	134	13	255	0	1560	
0	困った	851	1023	176	129	13	255	0	1540	
0	悲しい	848	1029	177	122	13	255	0	1520	
0	照れる	850	1023	177	132	13	255	0	1500	
0	驚き	850	1027	178	129	13	255	0	1480	
0	イタズラっぽい笑み	851	1034	176	115	13	255	0	1461	
0	微笑み	850	1031	178	120	13	255	0	1442	
0	ベース表情	848	1030	179	120	13	255	0	1630	
0	ウェイトレス	667	889	555	1604	13	255	0	1079	
0	私服	764	889	452	1610	13	255	0	1080	
0	私服ギター	764	837	452	1662	13	255	0	1078	
0	制服ギター	740	837	476	1659	13	255	0	1423	
0	制服	740	889	476	1607	13	255	0	1077	
0	シーツ	739	889	365	1594	13	255	1	1760	
0	裸	764	889	452	1594	13	255	0	992	
