#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				3750	5313					
0	頬	1665	1325	396	176	16	255	0	914	
0	髪かぶせ	1715	1265	295	85	13	255	0	911	
0	恥ずかしい　真剣　困った	1703	1286	317	275	13	255	0	999	
0	恥ずかしい　笑顔2　ベース	1703	1286	317	274	13	255	0	996	
0	恥ずかしい　ベース　ベース	1703	1286	317	274	13	255	0	993	
0	ベース　ベース　妄想	1718	1286	302	278	13	255	0	990	
0	真剣　真剣　きょとん	1721	1287	293	276	13	255	0	977	
0	妄想　笑顔2　きょとん	1704	1286	315	277	13	255	0	980	
0	困った　笑顔2　困った	1716	1298	298	263	13	255	0	983	
0	訝しむ	1704	1302	307	256	13	255	0	930	910
0	困った	1716	1298	298	263	13	255	0	929	910
0	真剣	1721	1287	293	267	13	255	0	928	910
0	考える	1721	1269	293	288	13	255	0	927	910
0	寂しい/悲しい	1593	1304	423	376	13	255	1	1002	910
0	呆れ顔	1712	1287	301	279	13	255	0	925	910
0	恥ずかしい/照れる	1703	1286	317	283	13	255	0	924	910
0	感嘆	1715	1284	296	277	13	255	0	923	910
0	驚き/焦る	1713	1286	303	277	13	255	0	922	910
0	きょとん	1715	1289	299	274	13	255	0	921	910
0	満面の笑み	1707	1286	307	274	13	255	0	920	910
0	妄想	1704	1286	315	278	13	255	0	919	910
0	笑顔２	1709	1295	304	268	13	255	0	918	910
0	笑顔１	1715	1287	296	291	13	255	0	917	910
0	表情ベース	1718	1286	302	274	13	255	0	916	910
0	スーツ上着なし	1287	1014	1063	3930	13	255	1	893	
0	スーツ上着あり	1287	1014	1063	3930	13	255	1	747	
2	表情	0	0	0	0	13	255	1	910	
