#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				1875	2656					
0	頬	833	662	199	89	16	255	0	914	
0	髪かぶせ	858	632	148	43	13	255	0	911	
0	恥ずかしい　真剣　困った	852	643	159	138	13	255	0	999	
0	恥ずかしい　笑顔2　ベース	852	643	159	137	13	255	0	996	
0	恥ずかしい　ベース　ベース	852	643	159	137	13	255	0	993	
0	ベース　ベース　妄想	859	643	152	139	13	255	0	990	
0	真剣　真剣　きょとん	861	643	147	139	13	255	0	977	
0	妄想　笑顔2　きょとん	852	643	159	139	13	255	0	980	
0	困った　笑顔2　困った	858	649	150	132	13	255	0	983	
0	訝しむ	852	651	155	128	13	255	0	930	910
0	困った	858	649	150	132	13	255	0	929	910
0	真剣	861	643	147	134	13	255	0	928	910
0	考える	861	634	147	145	13	255	0	927	910
0	寂しい/悲しい	797	652	212	188	13	255	1	1002	910
0	呆れ顔	856	643	152	140	13	255	0	925	910
0	恥ずかしい/照れる	852	643	159	142	13	255	0	924	910
0	感嘆	858	642	149	139	13	255	0	923	910
0	驚き/焦る	857	643	152	139	13	255	0	922	910
0	きょとん	858	644	150	138	13	255	0	921	910
0	満面の笑み	854	643	154	137	13	255	0	920	910
0	妄想	852	643	159	139	13	255	0	919	910
0	笑顔２	855	647	153	135	13	255	0	918	910
0	笑顔１	858	643	149	146	13	255	0	917	910
0	表情ベース	859	643	152	137	13	255	0	916	910
0	スーツ上着なし	644	507	532	1965	13	255	1	893	
0	スーツ上着あり	644	507	532	1965	13	255	1	747	
2	表情	0	0	0	0	13	255	1	910	
