#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				3750	5313					
0	魔女服用補正	1851	1728	136	105	13	255	0	1742	
0	頬2	1601	1878	398	243	16	255	0	1748	
0	頬	1601	1908	398	208	16	255	0	1745	
0	魔女服用前髪	1620	1838	372	169	13	255	0	1743	
0	前髪	1620	1845	364	175	13	179	1	3140	
0	落ち込む用効果	1629	1730	328	367	16	89	0	2354	
0	拗ね?怒りHL	1673	1929	245	64	13	255	1	2738	2740
0	発情１HL	1683	1930	237	59	13	255	1	2696	2740
0	あわあわしてるHL	1673	1907	254	74	13	255	1	2674	2740
0	訝しむHL	1676	1902	253	75	13	255	1	2619	2740
0	目を見開いて驚くHL	1677	1899	250	78	13	255	1	2589	2740
0	拗ねるHL	1679	1908	247	70	13	255	1	2567	2740
0	怒りHL	1676	1902	253	75	13	255	1	2547	2740
0	考えるHL	1674	1907	246	73	13	255	1	2528	2740
0	寂しいHL	1677	1910	243	71	13	255	1	2509	2740
0	恥ずかしいHL	1680	1928	237	62	13	255	1	2490	2740
0	焦るHL	1677	1899	250	78	13	255	1	2468	2740
0	きょとんHL	1676	1902	248	78	13	255	1	2446	2740
0	微笑みHL	1680	1917	243	67	13	255	1	2427	2740
0	ベース表情HL	1676	1902	253	75	13	255	1	2398	2740
0	ベース　見開き　きょとん涙あり	1616	1802	355	257	13	255	0	3120	
0	発情1　発情1　恥ずかしい涙あり	1629	1832	337	233	13	255	0	3119	
0	発情1　呆れ　発情1涙あり	1629	1832	339	230	13	255	0	3118	
0	呆れ　呆れ　考える涙あり	1629	1805	339	254	13	255	0	3117	
0	寂しい　発情1　怒り涙あり	1620	1815	346	244	13	255	0	3116	
0	恥ずかしい　寂しい　きょとん涙あり	1626	1797	342	262	13	255	0	3115	
0	恥ずかしい　恥ずかしい　寂しい涙あり	1626	1797	339	261	13	255	0	3114	
0	恥ずかしい　ベース　寂しい涙あり	1626	1797	342	261	13	255	0	3113	
0	困り笑い　恥ずかしい　微笑み涙あり	1625	1809	340	247	13	255	0	3112	
0	恥ずかしい　呆れ　笑顔1涙あり	1626	1797	342	268	13	255	0	3111	
0	恥ずかしい　ベース　ベース涙あり	1626	1797	342	256	13	255	0	3110	
0	ベース　呆れ　ベース涙あり	1616	1802	349	251	13	255	1	3135	
0	笑顔1　笑顔1　ベース涙あり	1623	1811	339	242	13	255	0	3134	
0	ベース　ベース　笑顔1涙あり	1616	1802	352	263	13	255	0	3133	
0	発情１涙あり	1629	1832	337	230	13	255	0	3132	
0	恥ずかしい（強い）涙あり	1631	1823	332	239	13	255	0	3131	
0	訝しむ涙あり	1620	1806	348	256	13	255	0	3130	
0	寂しい涙あり	1620	1815	348	243	13	255	0	3129	
0	恥ずかしい涙あり	1626	1797	339	268	13	255	0	3128	
0	焦る涙あり	1623	1794	343	276	13	255	0	3127	
0	きょとん涙あり	1616	1797	352	262	13	255	0	3126	
0	微笑み涙あり	1620	1812	348	244	13	255	0	3125	
0	笑顔１涙あり	1623	1811	339	254	13	255	0	3124	
0	ベース表情涙あり	1616	1802	352	251	13	255	0	3123	
0	あわあわ　笑顔1　微笑み	1620	1802	333	254	13	255	0	2950	
0	ベース　呆れ　恥ずかしい	1616	1802	344	263	13	255	0	2948	
0	怒り　ベース　考える	1613	1797	355	262	13	255	0	2944	
0	ベース　見開き　きょとん	1616	1802	355	257	13	255	0	2941	
0	拗ね　怒り　拗ね	1614	1793	354	275	13	255	0	2938	
0	拗ね　呆れ　拗ね	1614	1793	343	275	13	255	0	2933	
