#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				1875	2656					
0	魔女服用補正	926	864	69	53	13	255	0	1742	
0	頬2	801	939	200	122	16	255	0	1748	
0	頬	801	954	200	104	16	255	0	1745	
0	魔女服用前髪	810	919	187	85	13	255	0	1743	
0	前髪	810	922	183	88	13	179	1	3140	
0	落ち込む用効果	815	865	165	184	16	89	0	2354	
0	拗ね?怒りHL	837	964	123	33	13	255	1	2738	2740
0	発情１HL	842	965	119	30	13	255	1	2696	2740
0	あわあわしてるHL	837	953	128	38	13	255	1	2674	2740
0	訝しむHL	838	951	128	38	13	255	1	2619	2740
0	目を見開いて驚くHL	839	949	126	40	13	255	1	2589	2740
0	拗ねるHL	840	954	124	35	13	255	1	2567	2740
0	怒りHL	838	951	128	38	13	255	1	2547	2740
0	考えるHL	837	953	124	37	13	255	1	2528	2740
0	寂しいHL	839	955	122	36	13	255	1	2509	2740
0	恥ずかしいHL	840	964	120	31	13	255	1	2490	2740
0	焦るHL	839	949	126	40	13	255	1	2468	2740
0	きょとんHL	838	951	125	39	13	255	1	2446	2740
0	微笑みHL	840	958	123	34	13	255	1	2427	2740
0	ベース表情HL	838	951	128	38	13	255	1	2398	2740
0	ベース　見開き　きょとん涙あり	808	901	179	129	13	255	0	3120	
0	発情1　発情1　恥ずかしい涙あり	815	916	169	117	13	255	0	3119	
0	発情1　呆れ　発情1涙あり	815	916	170	115	13	255	0	3118	
0	呆れ　呆れ　考える涙あり	815	902	170	128	13	255	0	3117	
0	寂しい　発情1　怒り涙あり	810	907	174	123	13	255	0	3116	
0	恥ずかしい　寂しい　きょとん涙あり	813	898	172	132	13	255	0	3115	
0	恥ずかしい　恥ずかしい　寂しい涙あり	813	898	171	131	13	255	0	3114	
0	恥ずかしい　ベース　寂しい涙あり	813	898	172	131	13	255	0	3113	
0	困り笑い　恥ずかしい　微笑み涙あり	813	904	171	124	13	255	0	3112	
0	恥ずかしい　呆れ　笑顔1涙あり	813	898	172	135	13	255	0	3111	
0	恥ずかしい　ベース　ベース涙あり	813	898	172	129	13	255	0	3110	
0	ベース　呆れ　ベース涙あり	808	901	176	126	13	255	1	3135	
0	笑顔1　笑顔1　ベース涙あり	812	905	170	122	13	255	0	3134	
0	ベース　ベース　笑顔1涙あり	808	901	177	132	13	255	0	3133	
0	発情１涙あり	815	916	169	115	13	255	0	3132	
0	恥ずかしい（強い）涙あり	816	911	167	120	13	255	0	3131	
0	訝しむ涙あり	810	903	175	128	13	255	0	3130	
0	寂しい涙あり	810	907	175	122	13	255	0	3129	
0	恥ずかしい涙あり	813	898	171	135	13	255	0	3128	
0	焦る涙あり	812	897	172	138	13	255	0	3127	
0	きょとん涙あり	808	898	177	132	13	255	0	3126	
0	微笑み涙あり	810	906	175	122	13	255	0	3125	
0	笑顔１涙あり	812	905	170	128	13	255	0	3124	
0	ベース表情涙あり	808	901	177	126	13	255	0	3123	
0	あわあわ　笑顔1　微笑み	810	901	168	127	13	255	0	2950	
0	ベース　呆れ　恥ずかしい	808	901	173	132	13	255	0	2948	
0	怒り　ベース　考える	807	898	178	132	13	255	0	2944	
0	ベース　見開き　きょとん	808	901	179	129	13	255	0	2941	
0	拗ね　怒り　拗ね	807	896	178	138	13	255	0	2938	
0	拗ね　呆れ　拗ね	807	896	173	138	13	255	0	2933	
0	考え　呆れ　考え	804	906	176	124	13	255	0	2927	
0	発情1　発情1　あわあわ	815	916	169	123	13	255	0	2924	
0	発情1　発情1　恥ずかしい	815	916	169	117	13	255	0	2920	
0	発情1　呆れ　発情1	815	916	165	115	13	255	0	2916	
0	発情1　寂しい　恥ずかしい	815	916	170	117	13	255	0	2912	
0	きょとん　焦る　発情1	808	898	176	133	13	255	0	2946	
0	呆れ　呆れ　考える	815	902	165	128	13	255	0	2896	
0	寂しい　発情1　怒り	810	907	174	123	13	255	0	2892	
0	恥ずかしい　寂しい　きょとん	813	898	172	132	13	255	0	2886	
0	恥ずかしい　恥ずかしい　寂しい	813	898	171	131	13	255	0	2876	
0	恥ずかしい　ベース　寂しい	813	898	172	131	13	255	0	2873	
0	困り笑い　恥ずかしい　微笑み	813	904	171	124	13	255	0	2870	
0	恥ずかしい　呆れ　笑顔1	813	898	167	135	13	255	0	2867	
0	恥ずかしい　ベース　ベース	813	898	172	129	13	255	0	2864	
0	ベース　呆れ　ベース	808	901	173	126	13	255	0	2861	
0	微笑み　微笑み　笑顔1	810	906	175	127	13	255	0	2858	
0	笑顔1　笑顔1　ベース	812	905	170	122	13	255	0	2855	
0	ベース　ベース　笑顔1	808	901	177	132	13	255	0	2853	
0	拗ね?怒り	807	896	178	138	13	255	1	2739	2377
0	落ち込む	807	908	177	127	13	255	1	2719	2377
0	発情１	815	916	169	115	13	255	1	2697	2377
0	あわあわしてる	762	901	336	138	13	255	1	2675	2377
0	恥ずかしい（強い）	816	911	164	120	13	255	1	2649	2377
0	困り笑い	813	904	165	129	13	255	1	2638	2377
0	訝しむ	810	903	175	128	13	255	1	2760	2377
0	呆れ	815	902	165	132	13	255	1	2600	2377
0	目を見開いて驚く	810	897	177	139	13	255	1	2590	2377
0	拗ねる	807	892	177	139	13	255	1	2568	2377
0	怒り	807	898	178	132	13	255	1	2548	2377
0	考える	804	906	182	124	13	255	1	2529	2377
0	寂しい	810	907	175	122	13	255	1	2510	2377
0	恥ずかしい	813	898	171	135	13	255	1	2491	2377
0	焦る	812	897	172	138	13	255	1	2469	2377
0	きょとん	808	898	177	132	13	255	1	2447	2377
0	微笑み	810	906	175	122	13	255	1	2428	2377
0	笑顔１	812	905	170	128	13	255	1	2409	2377
