#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				3750	5313					
0	魔女服用補正	1701	1703	321	151	13	255	0	1577	
0	前髪	1640	1858	368	150	13	179	0	1559	
0	無表情?冷たい顔用影	1656	1713	330	469	16	102	0	2968	
0	フットー頬線画	1649	1922	343	118	13	77	0	1586	
0	悲しい用涙	1926	1977	24	21	13	255	0	1612	
0	頬2	1614	1871	414	238	16	255	0	1585	
0	頬	1628	1911	391	186	16	255	0	1560	
0	キラキラHL	1692	1911	256	70	13	255	0	2857	2869
0	フットーHL	1694	1931	256	50	13	255	0	2835	2869
0	無表情?冷たい顔HL	1692	1916	247	65	13	140	0	2810	2869
0	発情２HL	1698	1938	247	45	13	255	0	2787	2869
0	上目使いHL	1692	1911	252	61	13	255	0	2753	2869
0	ぐぬぬHL	1694	1931	253	50	13	255	0	2733	2869
0	ジト目HL	1695	1934	253	46	13	255	0	2712	2869
0	困ったHL	1692	1916	247	65	13	255	0	2693	2869
0	真剣HL	1692	1916	247	65	13	255	0	2672	2869
0	悲しいHL	1701	1944	243	40	13	255	0	2651	2869
0	照れるHL	1701	1940	243	44	13	255	0	2630	2869
0	驚きHL	1692	1914	247	67	13	255	0	2608	2869
0	ベース表情HL	1692	1916	247	65	13	255	0	2579	2869
0	悲しい　笑顔2　ベース涙あり	1667	1806	337	250	13	255	0	3024	
0	照れる　ベース　笑顔2涙あり	1652	1800	346	264	13	255	0	3023	
0	困った　悲しい　困った涙あり	1653	1809	349	250	13	255	0	3022	
0	悲しい　照れる　困った涙あり	1664	1806	340	253	13	255	0	3021	
0	叫ぶ涙あり	1653	1832	330	256	13	255	0	3020	
0	困った涙あり	1652	1809	350	250	13	255	0	3019	
0	驚き涙あり	1644	1805	357	259	13	255	0	3018	
0	ベース　ジト目　ベース	1646	1812	356	244	13	255	0	2971	
0	ベース　ベース　困った	1646	1812	356	247	13	255	0	2965	
0	悲しい　笑顔2　ベース	1667	1806	337	250	13	255	0	2960	
0	照れる　ベース　笑顔2	1652	1800	346	264	13	255	0	2957	
0	発情2　悲しい　悲しい	1650	1820	345	239	13	255	0	2953	
0	フットー　叫ぶ　悲しい	1655	1803	334	256	13	255	0	2949	
0	困った　悲しい　困った	1653	1809	349	250	13	255	0	2946	
0	悲しい　照れる　困った	1664	1806	340	253	13	255	0	2943	
0	笑顔2　上目　ベース	1644	1823	354	233	13	255	0	2939	
0	笑顔2　笑顔2　ベース	1644	1823	354	233	13	255	0	2936	
0	ベース　ベース　笑顔2	1646	1812	356	252	13	255	0	2934	
0	キラキラ	1655	1803	343	261	13	255	0	2858	2859
0	フットー	1649	1803	347	277	13	255	0	2837	2859
0	無表情?冷たい顔	1644	1836	354	231	13	255	0	2813	2859
0	発情２	1650	1820	345	247	13	255	0	2788	2859
0	叫ぶ	1653	1832	330	256	13	255	0	2767	2859
0	上目使い	1653	1808	358	254	13	255	0	2754	2859
0	ぐぬぬ	1652	1829	340	233	13	255	0	2734	2859
0	ジト目	1652	1836	353	232	13	255	0	2713	2859
0	困った	1652	1809	350	250	13	255	0	2694	2859
0	真剣	1647	1836	354	222	13	255	0	2673	2859
0	悲しい	1659	1806	345	253	13	255	0	2652	2859
0	照れる	1653	1800	345	261	13	255	0	2631	2859
0	驚き	1644	1805	357	259	13	255	0	2609	2859
0	笑顔２	1644	1823	354	241	13	255	0	2590	2859
0	ベース表情	1646	1812	356	244	13	255	0	2580	2859
0	魔女服	986	1242	1655	3724	13	255	0	1279	
0	部屋着	1401	1530	852	3421	13	255	0	1278	
0	制服	1119	1530	1378	3430	13	255	0	1277	
0	私服	1388	1530	903	3427	13	255	0	1965	
0	ハロウィン服	1263	1530	1170	3426	13	255	0	1147	
0	裸	1241	1530	1150	3405	13	255	1	3015	
2	HL	0	0	0	0	13	255	0	2869	
2	表情	0	0	0	0	13	255	1	2859	
