#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				1875	2656					
0	魔女服用補正	850	851	162	76	13	255	0	1577	
0	前髪	820	929	185	75	13	179	0	1559	
0	無表情?冷たい顔用影	828	856	166	235	16	102	0	2968	
0	フットー頬線画	824	961	173	59	13	77	0	1586	
0	悲しい用涙	963	988	13	11	13	255	0	1612	
0	頬2	807	935	208	120	16	255	0	1585	
0	頬	814	955	196	94	16	255	0	1560	
0	キラキラHL	846	955	129	36	13	255	0	2857	2869
0	フットーHL	847	965	129	26	13	255	0	2835	2869
0	無表情?冷たい顔HL	846	958	124	33	13	140	0	2810	2869
0	発情２HL	849	969	124	23	13	255	0	2787	2869
0	上目使いHL	846	955	127	31	13	255	0	2753	2869
0	ぐぬぬHL	847	965	127	26	13	255	0	2733	2869
0	ジト目HL	847	967	128	23	13	255	0	2712	2869
0	困ったHL	846	958	124	33	13	255	0	2693	2869
0	真剣HL	846	958	124	33	13	255	0	2672	2869
0	悲しいHL	850	972	123	20	13	255	0	2651	2869
0	照れるHL	850	970	123	22	13	255	0	2630	2869
0	驚きHL	846	957	124	34	13	255	0	2608	2869
0	ベース表情HL	846	958	124	33	13	255	0	2579	2869
0	悲しい　笑顔2　ベース涙あり	833	903	170	125	13	255	0	3024	
0	照れる　ベース　笑顔2涙あり	826	900	174	132	13	255	0	3023	
0	困った　悲しい　困った涙あり	826	904	176	126	13	255	0	3022	
0	悲しい　照れる　困った涙あり	832	903	171	127	13	255	0	3021	
0	叫ぶ涙あり	826	916	166	128	13	255	0	3020	
0	困った涙あり	826	904	176	126	13	255	0	3019	
0	驚き涙あり	822	902	179	130	13	255	0	3018	
0	ベース　ジト目　ベース	823	906	179	122	13	255	0	2971	
0	ベース　ベース　困った	823	906	179	124	13	255	0	2965	
0	悲しい　笑顔2　ベース	833	903	170	125	13	255	0	2960	
0	照れる　ベース　笑顔2	826	900	174	132	13	255	0	2957	
0	発情2　悲しい　悲しい	825	910	173	120	13	255	0	2953	
0	フットー　叫ぶ　悲しい	827	901	168	129	13	255	0	2949	
0	困った　悲しい　困った	826	904	176	126	13	255	0	2946	
0	悲しい　照れる　困った	832	903	171	127	13	255	0	2943	
0	笑顔2　上目　ベース	822	911	178	117	13	255	0	2939	
0	笑顔2　笑顔2　ベース	822	911	178	117	13	255	0	2936	
0	ベース　ベース　笑顔2	823	906	179	126	13	255	0	2934	
0	キラキラ	827	901	173	131	13	255	0	2858	2859
0	フットー	824	901	175	139	13	255	0	2837	2859
0	無表情?冷たい顔	822	918	178	116	13	255	0	2813	2859
0	発情２	825	910	173	124	13	255	0	2788	2859
0	叫ぶ	826	916	166	128	13	255	0	2767	2859
0	上目使い	826	904	180	127	13	255	0	2754	2859
0	ぐぬぬ	826	914	171	117	13	255	0	2734	2859
0	ジト目	826	918	177	116	13	255	0	2713	2859
0	困った	826	904	176	126	13	255	0	2694	2859
0	真剣	823	918	178	111	13	255	0	2673	2859
0	悲しい	829	903	174	127	13	255	0	2652	2859
0	照れる	826	900	174	131	13	255	0	2631	2859
0	驚き	822	902	179	130	13	255	0	2609	2859
0	笑顔２	822	911	178	121	13	255	0	2590	2859
0	ベース表情	823	906	179	122	13	255	0	2580	2859
0	魔女服	493	621	828	1862	13	255	0	1279	
0	部屋着	700	765	427	1711	13	255	0	1278	
0	制服	559	765	690	1715	13	255	0	1277	
0	私服	694	765	452	1714	13	255	0	1965	
0	ハロウィン服	631	765	586	1713	13	255	0	1147	
0	裸	620	765	576	1703	13	255	1	3015	
2	HL	0	0	0	0	13	255	0	2869	
2	表情	0	0	0	0	13	255	1	2859	
