#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				3750	5313					
0	私服用前髪	1665	1995	352	165	13	179	0	1388	
0	前髪	1662	1997	355	160	13	179	0	1385	
0	赤面頬	1589	1953	478	346	16	255	0	1389	
0	赤面線	1668	2042	325	197	16	255	0	1384	
0	頬	1604	2054	457	208	16	255	0	1387	
0	怒り　拗ねる　照れる	1671	1970	336	248	13	255	0	2474	
0	寂しい　困り笑い　ベース	1668	1953	345	270	13	255	0	2473	
0	怒り　考える　怒り	1683	1970	324	244	13	255	0	2472	
0	怒り　怒り　驚き	1671	1970	336	245	13	255	0	2471	
0	怒り 考える2　寂しい	1670	1970	337	244	13	255	0	2470	
0	ベース眉ベース目寂しい口レイプ目	1670	1959	341	255	13	255	0	2468	
0	目をギュっと　考える　寂しい	1676	1953	328	261	13	255	0	2452	
0	驚き　ベース　驚き	1673	1950	334	265	13	255	0	2449	
0	目をギュっと　考える　笑顔1	1676	1953	328	258	13	255	0	2442	
0	笑顔1　笑顔1右　ベース左　ベース	1668	1955	342	268	13	255	0	2439	
0	考える2　ベース　考える2	1673	1977	334	240	13	255	0	2435	
0	寂しい　考える2　寂しい	1670	1953	343	261	13	255	0	2432	
0	寂しい　ベース　照れる	1673	1953	340	265	13	255	0	2429	
0	目をギュっと　笑顔1　ベース	1676	1953	328	270	13	255	0	2426	
0	寂しい　ベース　困り笑い	1673	1953	340	261	13	255	0	2423	
0	呆れ　笑顔1　困り笑い	1674	1968	337	246	13	255	0	2420	
0	目をギュっと　考え　呆れ	1676	1953	328	267	13	255	0	2417	
0	ベース　ベース　照れる	1670	1959	341	259	13	255	0	2414	
0	笑顔1　考える　ベース	1668	1955	342	268	13	255	0	2403	
0	笑顔1　微笑み　ベース	1668	1955	342	268	13	255	0	2406	
0	笑顔1　笑顔1　ベース	1668	1955	342	268	13	255	0	2400	
0	ベース　ベース　笑顔1	1670	1959	341	252	13	255	0	2398	
0	目をギュっと閉じる	1676	1953	328	265	13	255	0	2333	
0	しょんぼり	1667	1958	341	260	13	255	0	2313	
0	考える２	1670	1977	337	240	13	255	0	2294	
0	ニヤニヤ顔	1670	1959	338	252	13	255	0	2275	
0	納得顔	1673	1953	337	258	13	255	0	2256	
0	困り笑い	1668	1955	339	259	13	255	0	2237	
0	呆れ	1671	1968	340	252	13	255	0	2218	
0	拗ねる	1671	1961	337	256	13	255	0	2199	
0	怒り	1671	1970	336	244	13	255	0	2180	
0	考える	1673	1965	334	249	13	255	0	2161	
0	真剣	1673	1973	337	241	13	255	0	2142	
0	寂しい	1671	1953	342	261	13	255	0	2123	
0	照れる	1667	1958	341	260	13	255	0	2104	
0	焦る	1664	1958	343	263	13	255	0	2084	
0	驚き	1673	1950	334	265	13	255	0	2065	
0	微笑み	1670	1956	343	258	13	255	0	2046	
0	笑顔1	1668	1955	342	256	13	255	0	2027	
0	ベース表情	1670	1959	341	264	13	255	0	2004	
0	デート服腕差分	1250	1697	1073	3257	13	255	0	1913	
0	デート服	1289	1697	1111	3257	13	255	0	1787	
0	部屋着腕差分	1433	1703	682	3251	13	255	0	1681	
0	部屋着	1433	1703	967	3251	13	255	0	1575	
0	ハロウィン服腕差分	663	1682	2079	3278	13	255	1	1034	
0	ハロウィン服	663	1682	2079	3278	13	255	1	1033	
0	私服	1248	1703	1152	3248	13	255	1	934	
0	私服腕差分	1248	1703	1101	3248	13	255	0	1032	
0	制服	1338	1625	1062	3338	13	255	0	1031	
0	制服腕差分	1338	1625	897	3338	13	255	0	1030	
0	裸腕差分	1412	1697	709	3238	13	255	0	2587	
0	裸	1412	1697	988	3238	13	255	1	2523	
