#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				1875	2656					
0	私服用前髪	833	998	177	83	13	179	0	1388	
0	前髪	831	999	179	80	13	179	0	1385	
0	赤面頬	795	977	240	173	16	255	0	1389	
0	赤面線	834	1021	164	99	16	255	0	1384	
0	頬	802	1027	230	105	16	255	0	1387	
0	怒り　拗ねる　照れる	836	985	169	125	13	255	0	2474	
0	寂しい　困り笑い　ベース	834	977	174	135	13	255	0	2473	
0	怒り　考える　怒り	842	985	163	123	13	255	0	2472	
0	怒り　怒り　驚き	836	985	169	123	13	255	0	2471	
0	怒り 考える2　寂しい	835	985	170	123	13	255	0	2470	
0	ベース眉ベース目寂しい口レイプ目	835	980	172	128	13	255	0	2468	
0	目をギュっと　考える　寂しい	838	977	165	131	13	255	0	2452	
0	驚き　ベース　驚き	837	975	168	133	13	255	0	2449	
0	目をギュっと　考える　笑顔1	838	977	165	129	13	255	0	2442	
0	笑顔1　笑顔1右　ベース左　ベース	834	978	172	134	13	255	0	2439	
0	考える2　ベース　考える2	837	989	168	120	13	255	0	2435	
0	寂しい　考える2　寂しい	835	977	173	131	13	255	0	2432	
0	寂しい　ベース　照れる	837	977	171	133	13	255	0	2429	
0	目をギュっと　笑顔1　ベース	838	977	165	135	13	255	0	2426	
0	寂しい　ベース　困り笑い	837	977	171	131	13	255	0	2423	
0	呆れ　笑顔1　困り笑い	837	984	170	124	13	255	0	2420	
0	目をギュっと　考え　呆れ	838	977	165	134	13	255	0	2417	
0	ベース　ベース　照れる	835	980	172	130	13	255	0	2414	
0	笑顔1　考える　ベース	834	978	172	134	13	255	0	2403	
0	笑顔1　微笑み　ベース	834	978	172	134	13	255	0	2406	
0	笑顔1　笑顔1　ベース	834	978	172	134	13	255	0	2400	
0	ベース　ベース　笑顔1	835	980	172	126	13	255	0	2398	
0	目をギュっと閉じる	838	977	165	133	13	255	0	2333	
0	しょんぼり	834	979	171	131	13	255	0	2313	
0	考える２	835	989	170	120	13	255	0	2294	
0	ニヤニヤ顔	835	980	170	126	13	255	0	2275	
0	納得顔	837	977	169	129	13	255	0	2256	
0	困り笑い	834	978	171	130	13	255	0	2237	
0	呆れ	836	984	171	127	13	255	0	2218	
0	拗ねる	836	981	169	128	13	255	0	2199	
0	怒り	836	985	169	123	13	255	0	2180	
0	考える	837	983	168	125	13	255	0	2161	
0	真剣	837	987	169	121	13	255	0	2142	
0	寂しい	836	977	172	131	13	255	0	2123	
0	照れる	834	979	171	131	13	255	0	2104	
0	焦る	832	979	173	132	13	255	0	2084	
0	驚き	837	975	168	133	13	255	0	2065	
0	微笑み	835	978	173	130	13	255	0	2046	
0	笑顔1	834	978	172	128	13	255	0	2027	
0	ベース表情	835	980	172	132	13	255	0	2004	
0	デート服腕差分	625	849	538	1629	13	255	0	1913	
0	デート服	645	849	556	1629	13	255	0	1787	
0	部屋着腕差分	717	852	342	1626	13	255	0	1681	
0	部屋着	717	852	484	1626	13	255	0	1575	
0	ハロウィン服腕差分	332	841	1040	1640	13	255	1	1034	
0	ハロウィン服	332	841	1040	1640	13	255	1	1033	
0	私服	624	852	577	1624	13	255	1	934	
0	私服腕差分	624	852	552	1624	13	255	0	1032	
0	制服	669	813	532	1669	13	255	0	1031	
0	制服腕差分	669	813	450	1669	13	255	0	1030	
0	裸腕差分	706	849	356	1619	13	255	0	2587	
0	裸	706	849	495	1619	13	255	1	2523	
