#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				3750	5313					
0	頬	1622	2082	398	171	16	255	0	1254	
0	前髪	1659	2012	352	141	13	179	1	999	
0	ベース　恥ずかしい　困った	1667	1967	326	248	13	255	0	2111	
0	ベース　ベース　困った	1664	1967	334	248	13	255	0	2108	
0	困った　はにかみ　ベース	1670	1962	325	247	13	255	0	2105	
0	困った　ベース　恥ずかしい	1664	1962	334	250	13	255	0	2102	
0	イタズラ　ジト目　イタズラ	1664	1974	329	235	13	255	0	2099	
0	ベース　恥ずかしい　笑顔	1667	1967	326	262	13	255	0	2095	
0	ベース　恥ずかしい　ベース	1667	1967	326	242	13	255	0	2092	
0	笑顔　笑顔　ベース	1665	1968	328	241	13	255	0	2089	
0	ベース　ベース　笑顔	1664	1967	334	262	13	255	0	2087	
0	イタズラっぽい顔	1664	1974	329	235	13	255	0	2038	1256
0	したり顔	1665	1995	328	237	13	255	0	2018	1256
0	上目使い	1664	1970	332	245	13	255	0	1999	1256
0	はにかみ笑い	1668	1971	331	247	13	255	0	1980	1256
0	訝しむ	1665	1973	333	239	13	255	0	1960	1256
0	拗ねる２	1665	1986	331	295	13	255	0	1940	1256
0	ジト目	1662	1976	340	241	13	255	0	1917	1256
0	困った	1665	1962	330	253	13	255	0	1897	1256
0	悲しい	1662	1968	334	244	13	255	0	1878	1256
0	恥ずかしい	1664	1970	332	242	13	255	0	1859	1256
0	きょとん	1664	1968	334	250	13	255	0	1838	1256
0	笑顔	1665	1968	328	261	13	255	0	1819	1256
0	ベース表情	1664	1967	334	242	13	255	0	1800	1256
0	デート服	1316	1682	1024	3274	13	255	0	1710	
0	部屋着	1527	1701	607	3259	13	255	0	1784	
0	ハロウィン服	819	1694	1968	3266	13	255	0	997	
0	私服	1260	1701	1161	3246	13	255	0	996	
0	制服	1449	1644	783	3319	13	255	0	995	
0	裸	1500	1683	652	3247	13	255	1	2138	
2	表情	0	0	0	0	13	255	0	1256	
