#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				1875	2656					
0	頬	811	1041	200	86	16	255	0	1254	
0	前髪	830	1006	176	71	13	179	1	999	
0	ベース　恥ずかしい　困った	834	983	163	125	13	255	0	2111	
0	ベース　ベース　困った	832	983	168	125	13	255	0	2108	
0	困った　はにかみ　ベース	835	981	163	124	13	255	0	2105	
0	困った　ベース　恥ずかしい	832	981	168	126	13	255	0	2102	
0	イタズラ　ジト目　イタズラ	832	987	165	118	13	255	0	2099	
0	ベース　恥ずかしい　笑顔	834	983	163	132	13	255	0	2095	
0	ベース　恥ずかしい　ベース	834	983	163	122	13	255	0	2092	
0	笑顔　笑顔　ベース	833	984	164	121	13	255	0	2089	
0	ベース　ベース　笑顔	832	983	168	132	13	255	0	2087	
0	イタズラっぽい顔	832	987	165	118	13	255	0	2038	1256
0	したり顔	833	997	164	120	13	255	0	2018	1256
0	上目使い	832	985	167	123	13	255	0	1999	1256
0	はにかみ笑い	834	985	166	125	13	255	0	1980	1256
0	訝しむ	833	986	167	121	13	255	0	1960	1256
0	拗ねる２	833	993	166	148	13	255	0	1940	1256
0	ジト目	831	988	171	121	13	255	0	1917	1256
0	困った	833	981	165	127	13	255	0	1897	1256
0	悲しい	831	984	168	123	13	255	0	1878	1256
0	恥ずかしい	832	985	167	122	13	255	0	1859	1256
0	きょとん	832	984	168	126	13	255	0	1838	1256
0	笑顔	833	984	164	131	13	255	0	1819	1256
0	ベース表情	832	983	168	122	13	255	0	1800	1256
0	デート服	658	841	513	1638	13	255	0	1710	
0	部屋着	764	850	304	1631	13	255	0	1784	
0	ハロウィン服	410	847	984	1634	13	255	0	997	
0	私服	630	850	581	1624	13	255	0	996	
0	制服	725	822	392	1660	13	255	0	995	
0	裸	750	841	327	1625	13	255	1	2138	
2	表情	0	0	0	0	13	255	0	1256	
