#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				3750	5313					
0	髪かぶせ	1595	1383	223	168	13	255	0	1017	
0	ハロウィン用アンクル	1734	1464	150	219	13	255	0	1802	
0	頬	1602	1430	339	185	16	255	0	1808	
0	表情8用頬斜線	1635	1505	276	53	13	255	0	1827	
0	9　ベース　6	1614	1374	303	279	13	255	0	2210	
0	9　ベース　5	1614	1374	303	261	13	255	0	2212	
0	9　1　7	1622	1374	295	265	13	255	0	2208	
0	13　ベース　7	1611	1394	306	245	13	255	0	2204	
0	9　ベース　ベース	1614	1374	303	252	13	255	0	2201	
0	12　8　12	1617	1392	300	237	13	255	0	2198	
0	12　13　12	1619	1392	296	237	13	255	0	2195	
0	12　13　9	1619	1392	296	256	13	255	0	2192	
0	12　12　6	1614	1392	303	261	13	255	0	2189	
0	12　12　5	1614	1392	303	243	13	255	0	2186	
0	13　13　5	1611	1394	304	241	13	255	1	2221	
0	5　11　10	1610	1392	308	243	13	255	0	2093	
0	9　11　11	1617	1374	301	255	13	255	0	2099	
0	9　9　ベース	1622	1374	295	252	13	255	0	2087	
0	ベース　9　ベース	1602	1398	318	228	13	255	0	2084	
0	4　ベース　ベース	1614	1404	306	222	13	255	0	2081	
0	ベース　ベース　1	1602	1398	318	247	13	255	0	2076	
0	1　1　ベース	1608	1391	307	235	13	255	0	2078	
0	14	1614	1401	303	237	13	255	0	1933	1806
0	13	1611	1394	304	239	13	255	0	1924	1806
0	12	1614	1392	303	237	13	255	0	1923	1806
0	11	1610	1392	308	237	13	255	0	1915	1806
0	10	1610	1400	311	235	13	255	0	1914	1806
0	9	1622	1374	295	274	13	255	0	1962	1806
0	8頬斜線	1635	1505	276	53	13	255	0	1897	1806
0	8	1613	1403	304	238	13	255	0	1896	1806
0	7	1614	1406	304	233	13	255	0	1878	1806
0	6	1613	1391	304	262	13	255	0	1877	1806
0	5	1613	1394	305	241	13	255	1	1876	1806
0	4	1616	1404	304	256	13	255	0	1857	1806
0	3	1617	1386	300	274	13	255	0	1855	1806
0	2	1607	1395	313	253	13	255	0	1989	1806
0	1	1608	1391	307	254	13	255	0	1852	1806
0	表情ベース	1602	1398	318	228	13	255	0	1950	1806
0	ハロウィン腕差分	1395	846	819	4120	13	255	0	1805	
0	ハロウィン	1119	846	1275	4120	13	255	0	1803	
0	制服腕差分	1344	1061	826	3868	13	255	0	1785	
0	制服	1119	1061	1272	3868	13	255	1	1786	
2	表情	0	0	0	0	13	255	0	1806	
