#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				1875	2656					
0	髪かぶせ	798	691	112	85	13	255	0	1017	
0	ハロウィン用アンクル	867	732	76	110	13	255	0	1802	
0	頬	801	715	171	93	16	255	0	1808	
0	表情8用頬斜線	818	752	139	27	13	255	0	1827	
0	9　ベース　6	807	687	153	140	13	255	0	2210	
0	9　ベース　5	807	687	153	131	13	255	0	2212	
0	9　1　7	811	687	149	133	13	255	0	2208	
0	13　ベース　7	806	697	154	123	13	255	0	2204	
0	9　ベース　ベース	807	687	153	126	13	255	0	2201	
0	12　8　12	809	696	151	119	13	255	0	2198	
0	12　13　12	810	696	149	119	13	255	0	2195	
0	12　13　9	810	696	149	128	13	255	0	2192	
0	12　12　6	807	696	153	131	13	255	0	2189	
0	12　12　5	807	696	153	122	13	255	0	2186	
0	13　13　5	806	697	153	121	13	255	1	2221	
0	5　11　10	805	696	155	122	13	255	0	2093	
0	9　11　11	809	687	151	128	13	255	0	2099	
0	9　9　ベース	811	687	149	126	13	255	0	2087	
0	ベース　9　ベース	801	699	160	114	13	255	0	2084	
0	4　ベース　ベース	807	702	154	111	13	255	0	2081	
0	ベース　ベース　1	801	699	160	124	13	255	0	2076	
0	1　1　ベース	804	695	155	118	13	255	0	2078	
0	14	807	700	153	119	13	255	0	1933	1806
0	13	806	697	153	120	13	255	0	1924	1806
0	12	807	696	153	119	13	255	0	1923	1806
0	11	805	696	155	119	13	255	0	1915	1806
0	10	805	700	157	118	13	255	0	1914	1806
0	9	811	687	149	137	13	255	0	1962	1806
0	8頬斜線	818	752	139	27	13	255	0	1897	1806
0	8	807	701	153	120	13	255	0	1896	1806
0	7	807	703	153	117	13	255	0	1878	1806
0	6	807	695	153	132	13	255	0	1877	1806
0	5	807	697	153	121	13	255	1	1876	1806
0	4	808	702	153	128	13	255	0	1857	1806
0	3	809	693	151	137	13	255	0	1855	1806
0	2	804	697	157	127	13	255	0	1989	1806
0	1	804	695	155	128	13	255	0	1852	1806
0	表情ベース	801	699	160	114	13	255	0	1950	1806
0	ハロウィン腕差分	698	423	410	2060	13	255	0	1805	
0	ハロウィン	560	423	638	2060	13	255	0	1803	
0	制服腕差分	672	530	414	1935	13	255	0	1785	
0	制服	560	530	637	1935	13	255	1	1786	
2	表情	0	0	0	0	13	255	0	1806	
