#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				3750	5313					
0	頬	1674	2150	342	161	16	255	0	1065	
0	髪かぶせ	1647	2064	364	204	13	204	1	1283	
0	恥ずかし　考える　恥ずかし涙あり	1664	2037	331	247	13	255	0	1280	
0	恥ずかし　笑顔1　通常1涙あり	1664	2037	316	244	13	255	0	1278	
0	恥ずかし　緊張　ベース涙あり	1664	2037	332	249	13	255	0	1277	
0	恥ずかし　恥ずかし　ベース涙あり	1664	2037	328	249	13	255	0	1276	
0	拗ねる　恥ずかし　通常1涙あり	1656	2028	336	253	13	255	0	1275	
0	拗ねる　恥ずかし　睨む涙あり	1656	2028	336	262	13	255	0	1274	
0	恥ずかし　笑顔1　笑顔1涙あり	1664	2037	316	262	13	255	0	1273	
0	恥ずかし　通常1　通常1涙あり	1664	2037	332	244	13	255	0	1272	
0	笑顔1　笑顔1　通常1涙あり	1661	2028	319	253	13	255	0	1271	
0	恥ずかし睨む涙あり	650	1275	0	0	13	255	0	1270	
0	恥ずかし睨む	1661	2055	334	235	13	255	0	1269	
0	緊張顔涙あり	1661	2034	335	252	13	255	0	1268	
0	はにかみ笑い涙あり	1661	2025	319	262	13	255	0	1267	
0	恥ずかしそう涙あり	1664	2037	328	247	13	255	0	1266	
0	寂しい涙あり	1662	2039	336	245	13	255	0	1265	
0	通常１涙あり	1659	2024	337	257	13	255	0	1264	
0	恥ずかし　考える　恥ずかし	1664	2037	331	247	13	255	0	1256	
0	恥ずかし　笑顔1　通常1	1664	2037	314	244	13	255	0	1253	
0	恥ずかし　緊張　ベース	1664	2037	332	249	13	255	0	1247	
0	恥ずかし　叫ぶ　ベース	1664	2037	329	249	13	255	0	1244	
0	恥ずかし　恥ずかし　ベース	1664	2037	328	249	13	255	0	1241	
0	怒り　考える　ベース	1656	2037	339	249	13	255	0	1238	
0	怒り　考える　拗ねる	1656	2037	339	247	13	255	0	1235	
0	拗ねる　ジト目　拗ねる	1656	2028	328	256	13	255	0	1232	
0	拗ねる　恥ずかし　通常1	1656	2028	336	253	13	255	0	1229	
0	拗ねる　恥ずかし　睨む	1656	2028	336	262	13	255	0	1226	
0	怒り　緊張　叫ぶ	1656	2037	340	276	13	255	0	1223	
0	恥ずかし　笑顔1　笑顔1	1664	2037	314	262	13	255	0	1220	
0	恥ずかし　通常1　通常1	1664	2037	332	244	13	255	0	1217	
0	笑顔1　考える　通常1	1661	2028	334	253	13	255	0	1214	
0	通常1　通常1　笑顔1	1659	2024	337	275	13	255	0	1209	
0	笑顔1　笑顔1　通常1	1661	2028	307	253	13	255	0	1211	
0	しょんぼり	1661	2034	334	252	13	255	0	1140	1062
0	恥ずかし睨む	1661	2055	334	235	13	255	0	1139	1062
0	緊張顔	1661	2034	335	252	13	255	0	1138	1062
0	叫ぶ	1662	2018	331	295	13	255	0	1137	1062
0	はにかみ笑い	1661	2025	317	262	13	255	0	1136	1062
0	恥ずかしそう	1664	2037	328	247	13	255	0	1135	1062
0	拗ねる	1656	2028	339	256	13	255	0	1134	1062
0	怒り	1656	2037	339	246	13	255	0	1133	1062
0	ジト目	1658	2028	326	259	13	255	0	1132	1062
0	考える	1661	2024	334	262	13	255	0	1131	1062
0	真剣	1659	2025	336	258	13	255	0	1130	1062
0	寂しい	1662	2039	336	245	13	255	0	1129	1062
0	照れる	1661	2025	334	261	13	255	0	1128	1062
0	焦る	1554	2022	442	277	13	255	0	1127	1062
0	きょとん	1658	2021	337	265	13	255	0	1126	1062
0	笑顔１	1661	2028	307	271	13	255	0	1125	1062
0	通常１	1659	2024	337	257	13	255	0	1124	1062
0	表情ベース	1658	2024	338	262	13	255	0	1123	1062
0	女の子服B	1368	1668	1032	3288	13	255	0	1099	
0	女の子服A	1368	1668	1032	3288	13	255	0	1100	
0	私服腕差分	1526	1668	797	3288	13	255	0	1034	
0	私服	1460	1668	893	3288	13	255	0	1035	
0	制服腕差分	1526	1549	836	3393	13	255	0	1032	
0	制服	1470	1668	897	3274	13	255	0	1070	
0	ハロウィン	1015	1668	1865	3274	13	255	0	1031	
0	魔女服ハンマー無し腕差分	1170	1568	1470	3374	13	255	0	1079	
0	魔女服ハンマー無し	1170	1568	1470	3374	13	255	0	1039	
0	魔女服ハンマーあり	650	1279	1990	3663	13	255	0	1030	
0	裸腕差分	1488	1668	849	3265	13	255	1	1262	
0	裸	1482	1668	871	3265	13	255	1	1257	
2	表情	0	0	0	0	13	255	1	1062	
