#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				1875	2656					
0	頬	837	1075	171	82	16	255	0	1065	
0	髪かぶせ	823	1032	183	103	13	204	1	1283	
0	恥ずかし　考える　恥ずかし涙あり	832	1019	166	124	13	255	0	1280	
0	恥ずかし　笑顔1　通常1涙あり	832	1019	158	123	13	255	0	1278	
0	恥ずかし　緊張　ベース涙あり	832	1019	166	125	13	255	0	1277	
0	恥ずかし　恥ずかし　ベース涙あり	832	1019	164	125	13	255	0	1276	
0	拗ねる　恥ずかし　通常1涙あり	828	1014	168	128	13	255	0	1275	
0	拗ねる　恥ずかし　睨む涙あり	828	1014	168	132	13	255	0	1274	
0	恥ずかし　笑顔1　笑顔1涙あり	832	1019	158	132	13	255	0	1273	
0	恥ずかし　通常1　通常1涙あり	832	1019	166	123	13	255	0	1272	
0	笑顔1　笑顔1　通常1涙あり	830	1014	160	128	13	255	0	1271	
0	恥ずかし睨む涙あり	323	638	0	0	13	255	0	1270	
0	恥ずかし睨む	830	1028	168	118	13	255	0	1269	
0	緊張顔涙あり	830	1017	168	127	13	255	0	1268	
0	はにかみ笑い涙あり	830	1013	160	132	13	255	0	1267	
0	恥ずかしそう涙あり	832	1019	164	124	13	255	0	1266	
0	寂しい涙あり	831	1020	168	123	13	255	0	1265	
0	通常１涙あり	829	1012	169	130	13	255	0	1264	
0	恥ずかし　考える　恥ずかし	832	1019	166	124	13	255	0	1256	
0	恥ずかし　笑顔1　通常1	832	1019	157	123	13	255	0	1253	
0	恥ずかし　緊張　ベース	832	1019	166	125	13	255	0	1247	
0	恥ずかし　叫ぶ　ベース	832	1019	165	125	13	255	0	1244	
0	恥ずかし　恥ずかし　ベース	832	1019	164	125	13	255	0	1241	
0	怒り　考える　ベース	828	1019	170	125	13	255	0	1238	
0	怒り　考える　拗ねる	828	1019	170	124	13	255	0	1235	
0	拗ねる　ジト目　拗ねる	828	1014	164	129	13	255	0	1232	
0	拗ねる　恥ずかし　通常1	828	1014	168	128	13	255	0	1229	
0	拗ねる　恥ずかし　睨む	828	1014	168	132	13	255	0	1226	
0	怒り　緊張　叫ぶ	828	1019	170	139	13	255	0	1223	
0	恥ずかし　笑顔1　笑顔1	832	1019	157	132	13	255	0	1220	
0	恥ずかし　通常1　通常1	832	1019	166	123	13	255	0	1217	
0	笑顔1　考える　通常1	830	1014	168	128	13	255	0	1214	
0	通常1　通常1　笑顔1	829	1012	169	139	13	255	0	1209	
0	笑顔1　笑顔1　通常1	830	1014	154	128	13	255	0	1211	
0	しょんぼり	830	1017	168	127	13	255	0	1140	1062
0	恥ずかし睨む	830	1028	168	118	13	255	0	1139	1062
0	緊張顔	830	1017	168	127	13	255	0	1138	1062
0	叫ぶ	831	1009	166	149	13	255	0	1137	1062
0	はにかみ笑い	830	1013	159	132	13	255	0	1136	1062
0	恥ずかしそう	832	1019	164	124	13	255	0	1135	1062
0	拗ねる	828	1014	170	129	13	255	0	1134	1062
0	怒り	828	1019	170	124	13	255	0	1133	1062
0	ジト目	829	1014	163	131	13	255	0	1132	1062
0	考える	830	1012	168	132	13	255	0	1131	1062
0	真剣	829	1013	169	130	13	255	0	1130	1062
0	寂しい	831	1020	168	123	13	255	0	1129	1062
0	照れる	830	1013	168	131	13	255	0	1128	1062
0	焦る	777	1011	221	140	13	255	0	1127	1062
0	きょとん	829	1011	169	133	13	255	0	1126	1062
0	笑顔１	830	1014	154	137	13	255	0	1125	1062
0	通常１	829	1012	169	130	13	255	0	1124	1062
0	表情ベース	829	1012	169	132	13	255	0	1123	1062
0	女の子服B	684	834	516	1645	13	255	0	1099	
0	女の子服A	684	834	516	1645	13	255	0	1100	
0	私服腕差分	763	834	399	1645	13	255	0	1034	
0	私服	730	834	447	1645	13	255	0	1035	
0	制服腕差分	763	775	418	1697	13	255	0	1032	
0	制服	735	834	449	1638	13	255	0	1070	
0	ハロウィン	508	834	932	1638	13	255	0	1031	
0	魔女服ハンマー無し腕差分	585	784	735	1688	13	255	0	1079	
0	魔女服ハンマー無し	585	784	735	1688	13	255	0	1039	
0	魔女服ハンマーあり	325	640	995	1832	13	255	0	1030	
0	裸腕差分	744	834	425	1634	13	255	1	1262	
0	裸	741	834	436	1634	13	255	1	1257	
2	表情	0	0	0	0	13	255	1	1062	
