#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				3750	5313					
0	頬	1656	2138	381	185	16	255	0	36	
0	髪かぶせ	1610	2015	491	256	13	204	0	35	
0	困った　呆れ　悲しい涙あり	1674	2045	340	239	13	255	0	68	
0	困った　ベース　ベース涙あり	1674	2045	340	238	13	255	0	67	
0	困った　呆れ　困り笑い涙あり	1674	2045	340	239	13	255	0	66	
0	悲しい　ベース　悲しい涙あり	1671	2040	343	244	13	255	0	65	
0	悲しい　呆れ　悲しい涙あり	1671	2040	343	244	13	255	0	64	
0	通常2　呆れ　通常2涙あり	1668	2031	343	246	13	255	0	63	
0	微笑み　微笑み　ベース涙あり	1665	2033	346	250	13	255	0	62	
0	笑顔2　笑顔2　通常2涙あり	1674	2033	339	244	13	255	0	61	
0	きょとん２涙あり	1670	2031	341	249	13	255	0	60	
0	困り笑い	1659	2027	357	257	13	255	0	59	
0	困った涙あり	1674	2045	340	242	13	255	0	58	
0	悲しい涙あり	1671	2040	343	244	13	255	0	57	
0	微笑み涙あり	1665	2033	346	247	13	255	0	56	
0	笑顔2涙あり	1674	2033	339	256	13	255	0	55	
0	通常2涙あり	1668	2031	345	246	13	255	1	54	
0	ベース　ベース　訝しむ	1667	2031	346	253	13	255	0	34	
0	困った　呆れ　悲しい	1674	2045	340	239	13	255	0	33	
0	困った　ベース　ベース	1674	2045	340	238	13	255	0	32	
0	困った　呆れ　困り笑い	1674	2045	340	239	13	255	0	31	
0	悲しい　ベース　悲しい	1671	2040	343	244	13	255	0	30	
0	悲しい　呆れ　悲しい	1671	2040	343	244	13	255	0	29	
0	ベース　上目　通常2	1667	2031	346	246	13	255	0	28	
0	通常2　呆れ　通常2	1668	2031	343	246	13	255	0	27	
0	微笑み　微笑み　ベース	1665	2033	346	250	13	255	0	26	
0	笑顔2　笑顔2　通常2	1674	2033	339	244	13	255	0	25	
0	きょとん２	1670	2031	341	249	13	255	0	23	24
0	泣き叫ぶ	1674	2057	348	244	13	255	0	22	24
0	上目遣い	1668	2042	355	242	13	255	0	21	24
0	困り笑い	1659	2027	357	257	13	255	0	20	24
0	訝しむ	1665	2039	349	245	13	255	0	19	24
0	呆れ	1674	2037	336	255	13	255	0	18	24
0	困った	1674	2045	340	242	13	255	0	17	24
0	悲しい	1671	2040	343	244	13	255	0	16	24
0	恥ずかしい	1674	2021	337	272	13	255	0	15	24
0	驚き	1677	2025	337	273	13	255	0	14	24
0	微笑み	1665	2033	346	247	13	255	0	13	24
0	笑顔2	1674	2033	339	256	13	255	0	12	24
0	通常2	1668	2031	345	246	13	255	0	11	24
0	表情	1667	2031	346	252	13	255	1	10	24
0	ハロウィン服	956	1673	1816	3287	13	255	0	8	
0	女の子服	1364	1673	1045	3289	13	255	0	7	
0	私服	1527	1673	825	3301	13	255	0	6	
0	魔女服ハンマー無し	1164	1584	1422	3376	13	255	0	5	
0	魔女服	671	1276	1915	3684	13	255	0	4	
0	制服	1529	1673	794	3287	13	255	0	3	
0	裸	1449	1673	847	3271	13	255	1	37	
2	表情	0	0	0	0	13	255	0	24	
