#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				1875	2656					
0	頬	828	1069	192	93	16	255	0	36	
0	髪かぶせ	805	1007	247	129	13	204	0	35	
0	困った　呆れ　悲しい涙あり	837	1022	171	120	13	255	0	68	
0	困った　ベース　ベース涙あり	837	1022	171	120	13	255	0	67	
0	困った　呆れ　困り笑い涙あり	837	1022	171	120	13	255	0	66	
0	悲しい　ベース　悲しい涙あり	836	1020	172	122	13	255	0	65	
0	悲しい　呆れ　悲しい涙あり	836	1020	172	122	13	255	0	64	
0	通常2　呆れ　通常2涙あり	834	1015	173	124	13	255	0	63	
0	微笑み　微笑み　ベース涙あり	833	1016	174	126	13	255	0	62	
0	笑顔2　笑顔2　通常2涙あり	837	1016	171	123	13	255	0	61	
0	きょとん２涙あり	835	1015	172	125	13	255	0	60	
0	困り笑い	830	1013	179	129	13	255	0	59	
0	困った涙あり	837	1022	171	122	13	255	0	58	
0	悲しい涙あり	836	1020	172	122	13	255	0	57	
0	微笑み涙あり	833	1016	174	124	13	255	0	56	
0	笑顔2涙あり	837	1016	171	129	13	255	0	55	
0	通常2涙あり	834	1015	174	124	13	255	1	54	
0	ベース　ベース　訝しむ	834	1015	174	127	13	255	0	34	
0	困った　呆れ　悲しい	837	1022	171	120	13	255	0	33	
0	困った　ベース　ベース	837	1022	171	120	13	255	0	32	
0	困った　呆れ　困り笑い	837	1022	171	120	13	255	0	31	
0	悲しい　ベース　悲しい	836	1020	172	122	13	255	0	30	
0	悲しい　呆れ　悲しい	836	1020	172	122	13	255	0	29	
0	ベース　上目　通常2	834	1015	174	124	13	255	0	28	
0	通常2　呆れ　通常2	834	1015	173	124	13	255	0	27	
0	微笑み　微笑み　ベース	833	1016	174	126	13	255	0	26	
0	笑顔2　笑顔2　通常2	837	1016	171	123	13	255	0	25	
0	きょとん２	835	1015	172	125	13	255	0	23	24
0	泣き叫ぶ	837	1028	175	123	13	255	0	22	24
0	上目遣い	834	1021	179	121	13	255	0	21	24
0	困り笑い	830	1013	179	129	13	255	0	20	24
0	訝しむ	833	1019	175	123	13	255	0	19	24
0	呆れ	837	1018	169	128	13	255	0	18	24
0	困った	837	1022	171	122	13	255	0	17	24
0	悲しい	836	1020	172	122	13	255	0	16	24
0	恥ずかしい	837	1010	170	137	13	255	0	15	24
0	驚き	839	1012	169	137	13	255	0	14	24
0	微笑み	833	1016	174	124	13	255	0	13	24
0	笑顔2	837	1016	171	129	13	255	0	12	24
0	通常2	834	1015	174	124	13	255	0	11	24
0	表情	834	1015	174	127	13	255	1	10	24
0	ハロウィン服	478	836	909	1644	13	255	0	8	
0	女の子服	682	836	524	1645	13	255	0	7	
0	私服	764	836	413	1651	13	255	0	6	
0	魔女服ハンマー無し	582	792	712	1688	13	255	0	5	
0	魔女服	336	638	958	1842	13	255	0	4	
0	制服	765	836	398	1644	13	255	0	3	
0	裸	725	836	424	1636	13	255	1	37	
2	表情	0	0	0	0	13	255	0	24	
