#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				3750	5313					
0	前髪	1629	1941	408	183	13	179	0	1232	
0	頬	1590	1974	457	214	16	255	0	1233	
0	困った　呆れ　笑顔1	1653	1901	361	253	13	255	1	2394	
0	笑顔1　呆れ　きょとん	1649	1905	371	243	13	255	0	2391	
0	困った 　困った　笑顔1	1668	1901	327	253	13	255	0	2395	
0	笑顔1　困った　笑顔2	1649	1905	371	238	13	255	0	2385	
0	笑顔1　考える　先輩憂う	1649	1905	371	244	13	255	0	2382	
0	怯える　真剣　考える	1652	1922	367	224	13	255	0	2379	
0	呆れ　笑顔1　笑顔1	1655	1898	362	256	13	255	0	2376	
0	呆れ　きょとん　きょとん	1652	1898	367	250	13	255	0	2373	
0	困った　恥ずかしい　きょとん	1658	1901	352	247	13	255	0	2370	
0	先輩憂い　笑顔1　きょとん	1652	1907	362	241	13	255	0	2362	
0	困った　勇気　笑顔2	1653	1901	364	242	13	255	0	2359	
0	先輩を憂う　笑顔2　笑顔1	1652	1907	352	247	13	255	0	2356	
0	笑顔2　笑顔2　笑顔1	1653	1913	366	241	13	255	0	2353	
0	笑顔1　笑顔1　笑顔2	1649	1905	371	238	13	255	0	2350	
0	怯える顔	1665	1922	336	232	13	255	0	2284	
0	困った	1668	1901	327	250	13	255	0	2270	
0	考える	1653	1908	361	238	13	255	0	2259	
0	真剣	1652	1911	367	237	13	255	0	2240	
0	脳汁喜び	1481	1893	769	319	13	255	0	2219	
0	寂しい/悲しい	1655	1907	355	248	13	255	0	2194	
0	呆れ	1653	1898	364	256	13	255	0	2175	
0	指定なし	1653	1899	364	253	13	255	0	2156	
0	恥ずかしい/照れる	1652	1907	364	242	13	255	0	2137	
0	勇気を振り絞るときの顔	1653	1907	364	241	13	255	0	2115	
0	驚き/焦る	1653	1902	366	264	13	255	0	2095	
0	きょとん	1652	1905	367	243	13	255	0	2073	
0	慌てる	1652	1895	368	268	13	255	0	2054	
0	先輩を思う憂いの顔	1652	1907	359	242	13	255	0	2031	
0	笑顔２	1653	1913	366	230	13	255	0	2010	
0	笑顔１	1649	1905	371	249	13	255	0	1991	
0	ベース表情	1652	1910	367	235	13	255	0	1972	
0	制服腕差分	1451	1617	712	3342	13	255	0	1626	
0	制服	1418	1617	980	3342	13	255	1	599	
