#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id
				1875	2656					
0	前髪	814	971	205	92	13	179	0	1232	
0	頬	795	987	229	108	16	255	0	1233	
0	困った　呆れ　笑顔1	826	951	181	127	13	255	1	2394	
0	笑顔1　呆れ　きょとん	824	953	186	122	13	255	0	2391	
0	困った 　困った　笑顔1	834	951	164	127	13	255	0	2395	
0	笑顔1　困った　笑顔2	824	953	186	119	13	255	0	2385	
0	笑顔1　考える　先輩憂う	824	953	186	122	13	255	0	2382	
0	怯える　真剣　考える	826	961	184	113	13	255	0	2379	
0	呆れ　笑顔1　笑顔1	827	949	182	129	13	255	0	2376	
0	呆れ　きょとん　きょとん	826	949	184	126	13	255	0	2373	
0	困った　恥ずかしい　きょとん	829	951	176	124	13	255	0	2370	
0	先輩憂い　笑顔1　きょとん	826	954	181	121	13	255	0	2362	
0	困った　勇気　笑顔2	826	951	183	121	13	255	0	2359	
0	先輩を憂う　笑顔2　笑顔1	826	954	176	124	13	255	0	2356	
0	笑顔2　笑顔2　笑顔1	826	957	184	121	13	255	0	2353	
0	笑顔1　笑顔1　笑顔2	824	953	186	119	13	255	0	2350	
0	怯える顔	832	961	169	117	13	255	0	2284	
0	困った	834	951	164	125	13	255	0	2270	
0	考える	826	954	181	120	13	255	0	2259	
0	真剣	826	956	184	119	13	255	0	2240	
0	脳汁喜び	740	947	385	160	13	255	0	2219	
0	寂しい/悲しい	827	954	178	124	13	255	0	2194	
0	呆れ	826	949	183	129	13	255	0	2175	
0	指定なし	826	950	183	127	13	255	0	2156	
0	恥ずかしい/照れる	826	954	182	121	13	255	0	2137	
0	勇気を振り絞るときの顔	826	954	183	121	13	255	0	2115	
0	驚き/焦る	826	951	184	133	13	255	0	2095	
0	きょとん	826	953	184	122	13	255	0	2073	
0	慌てる	826	948	184	134	13	255	0	2054	
0	先輩を思う憂いの顔	826	954	180	121	13	255	0	2031	
0	笑顔２	826	957	184	115	13	255	0	2010	
0	笑顔１	824	953	186	125	13	255	0	1991	
0	ベース表情	826	955	184	118	13	255	0	1972	
0	制服腕差分	725	809	357	1671	13	255	0	1626	
0	制服	709	809	490	1671	13	255	1	599	
